locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	region	group	gene_length	gc_content	gc3	gc3_deviation	nc	rare_codon_freq	dist_oriC	region_calc	baseMean	has_gene_name	has_old_locus_tag	has_named_product	is_hypothetical	has_protein_id	is_constitutive	LFC_T2vsT1	LFC_T3vsT1	composite_conservation
SC_RS23345		SCO4232	CarD family transcriptional regulator	Other regulatory	4636744	4637226	+	0	Shielded	483	0.6459627329192547	0.8322981366459627	0.08203061373273579	42.94105226259302	0.05625	364292.0	core	11953.843250777538	False	True	True	False	True	False	-1.122084319292714	-1.5455706722464009	0.6350690272506058
SC_RS23495		SCO4261	helix-turn-helix transcriptional regulator	HTH (other)	4674563	4675222	-	0	Shielded	660	0.7363636363636363	0.9090909090909091	0.00523784128778948	34.755067821651	0.0365296803652968	402199.5	core	5444.476539196032	False	True	True	False	True	False	3.061620218018283	-0.0565806575556444	0.5901482060507588
SC_RS23500		SCO4263	helix-turn-helix transcriptional regulator	HTH (other)	4675583	4679338	+	0	Shielded	3756	0.7808839190628328	0.9329073482428115	0.018578597864112978	30.054637540799046	0.035171862509992005	404767.5	core	2663.6171857819254	False	True	True	False	True	False	-0.5129905995436999	-1.629892604131556	1.194425226322453
SC_RS23535		SCO4270	TetR family transcriptional regulator	TetR	4685643	4686242	-	0	Shielded	600	0.745	0.97	0.05567124962130143	29.655260726033003	0.010050251256281407	413249.5	core	103.61226105244484	False	True	True	False	True	False	-2.344321338779997	-1.5921362278927569	0.030802518084054955
SC_RS23560		SCO4275	sensor histidine kinase	Sensor kinase	4690823	4692109	+	0	Shielded	1287	0.7622377622377622	0.9487179487179487	0.03438919833925014	29.07975690898304	0.02102803738317757	418773.0	core	102.99137262773358	False	True	True	False	True	False	-2.4415418950839083	-0.8401863645648248	0.2526122643382799
SC_RS23565		SCO4276	response regulator	Response regulator	4692106	4692777	+	0	Shielded	672	0.7455357142857143	0.9419642857142857	0.027635535335587158	29.63092977650927	0.017937219730941704	419748.5	core	208.91543669580545	False	True	True	False	True	False	-2.6877433042707	-1.946549842359642	0.1289641523469242
SC_RS23610		SCO4285	ROK family protein	ROK	4700543	4701562	-	0	Shielded	1020	0.7627450980392156	0.9	0.014328750378698518	32.99578965267357	0.05309734513274336	428359.5	core	99.26767288791228	False	True	True	False	True	False	-1.1232797760643776	-0.6080769821116855	-0.09704132729945349
SC_RS23690		SCO4301	helix-turn-helix domain-containing protein	HTH (other)	4716256	4717095	-	0	Shielded	840	0.6785714285714286	0.8642857142857143	0.05004303609298422	39.90491139871204	0.05734767025089606	443982.5	core	308.8262726490159	False	True	True	False	True	False	4.0059313971641	4.057978879163021	-0.5429071273085642
SC_RS23700		SCO4303	TetR/AcrR family transcriptional regulator	TetR	4717614	4718222	-	0	Shielded	609	0.7274220032840722	0.9310344827586207	0.016705732379922122	30.80139085938778	0.024752475247524754	445225.0	core	226.3360225401095	False	True	True	False	True	True	0.4800328681855517	0.2914084056542169	0.07172486908277158
SC_RS23710		SCO4305	TetR/AcrR family transcriptional regulator	TetR	4719080	4719673	-	0	Exposed	594	0.7424242424242424	0.9595959595959596	0.04526720921726102	29.992139751236465	0.015228426395939087	446683.5	core	122.4080782728069	False	True	True	False	True	False	-0.7638015556801351	-1.1916226395492695	0.027794345845424673
SC_RS23725		SCO4308	MurR/RpiR family transcriptional regulator	Other regulatory	4721346	4722335	-	0	Shielded	990	0.7484848484848485	0.9333333333333333	0.019004582954634808	32.81829780222147	0.02127659574468085	449147.5	core	158.23025423138668	False	True	True	False	True	False	-2.074023651119372	-0.4402218607093474	0.11082051505079486
SC_RS23750		SCO4313	TetR/AcrR family transcriptional regulator	TetR	4724955	4725605	+	0	Shielded	651	0.7265745007680492	0.9447004608294931	0.030371710450794565	28.473998674639688	0.013888888888888888	452587.0	core	208.71841538026385	False	True	True	False	True	False	-2.668446171977565	-2.5566033732340103	0.18044672352722627
SC_RS23810		SCO4326	1,4-dihydroxy-6-naphthoate synthase	HTH (other)	4737844	4738692	-	0	Shielded	849	0.7326266195524146	0.9787985865724381	0.06446983619373958	29.931720051798116	0.0070921985815602835	465575.0	core	498.5084534000116	False	True	True	False	True	False	-1.179731054881152	-2.4275909206684	0.12373986946222547
SC_RS23860		SCO4336	MarR family winged helix-turn-helix transcriptional regulator	MarR	4750828	4751265	+	0	Shielded	438	0.7031963470319634	0.958904109589041	0.0445753592103425	30.35297409641031	0.006896551724137931	478353.5	core	985.3441738630712	False	True	True	False	True	False	-2.2152124543258744	-1.8655678289064952	0.14543920004833302
SC_RS23960		SCO4358	TetR/AcrR family transcriptional regulator	TetR	4772215	4773021	-	0	Shielded	807	0.7335811648079306	0.9516728624535316	0.037344112074833014	31.39694571668892	0.018656716417910446	499925.0	core	219.23417884080052	False	True	True	False	True	False	-1.611900730732057	-1.749619494398007	0.05901303488046276
SC_RS23980		SCO4362	sensor histidine kinase	Sensor kinase	4775642	4776853	+	0	Shielded	1212	0.7343234323432343	0.9257425742574258	0.011413823878727247	32.20163350479222	0.034739454094292806	503554.5	core	62.21532009323563	False	True	True	False	True	False	-0.5275166844056618	0.1409828628733067	0.11903258729659563
SC_RS23985		SCO4363	response regulator transcription factor	Response regulator	4776850	4777530	+	0	Shielded	681	0.7327459618208517	0.9515418502202643	0.03721309984156573	31.998381177930447	0.022123893805309734	504497.0	core	88.72694545825529	False	True	True	False	True	False	-0.7923482171218507	-0.8021436111613703	-0.037139640867487216
SC_RS24045		SCO4375	MarR family winged helix-turn-helix transcriptional regulator	MarR	4789565	4790059	+	0	Shielded	495	0.7131313131313132	0.8727272727272727	0.041601477651425856	37.322394102043404	0.036585365853658534	517119.0	core	59.69637513164277	False	True	True	False	True	False	-0.7349754452201004	-0.0018787481562549	-0.398244382606966
SC_RS24095		SCO4385	TetR/AcrR family transcriptional regulator	TetR	4802192	4802821	+	0	Shielded	630	0.7603174603174603	0.9380952380952381	0.023766487716539553	28.17721516843899	0.014354066985645933	529813.5	core	72.94524187853573	False	True	True	False	True	False	-2.742475874392498	-1.5534798871767503	0.1922977507920771
SC_RS24125		SCO4391	winged helix-turn-helix transcriptional regulator	HTH (other)	4808387	4808785	-	0	Shielded	399	0.6917293233082706	0.8796992481203008	0.03462950225839778	36.39651342001687	0.08333333333333333	535893.0	core	69.1140703787835	False	True	True	False	True	False	1.230428479243588	0.5588588588317404	-0.6873861007858567
SC_RS24140		SCO4394	metal-dependent transcriptional regulator	Other regulatory	4810836	4811528	+	0	Shielded	693	0.7215007215007215	0.961038961038961	0.046710210660262486	30.510528349395717	0.021739130434782608	538489.0	core	1521.103057522981	False	True	True	False	True	False	0.1078268639887354	-0.5992542659625048	0.1665359977180525
SC_RS24185	purU	SCO4403	formyltetrahydrofolate deformylase	TetR	4821748	4822641	+	0	Shielded	894	0.6756152125279642	0.9697986577181208	0.05546990733942225	31.611851605915316	0.016835016835016835	549501.5	core	425.87062640175367	True	True	True	False	True	False	-0.7118992266088117	-1.778213262704346	0.577616479282628
SC_RS24205		SCO4407	GbsR/MarR family transcriptional regulator	MarR	4825352	4826125	+	0	Shielded	774	0.7377260981912145	0.9186046511627907	0.004275900784092124	31.684448003849667	0.027237354085603113	553045.5	core	114.01594607362672	False	True	True	False	True	False	-0.6102359269250709	-1.1116962078242183	0.1067119009884987
SC_RS24215		SCO4409	sigma-70 family RNA polymerase sigma factor	Sigma factor	4827365	4827958	-	0	Shielded	594	0.7575757575757576	0.9393939393939394	0.025065189015240907	30.30711042266052	0.02030456852791878	554968.5	core	2622.6720587961554	False	True	True	False	True	False	2.4478129572402416	1.8908417786963363	0.39133421744581204
SC_RS24235		SCO4413	GlxA family transcriptional regulator	Other regulatory	4830650	4831684	-	0	Shielded	1035	0.7381642512077294	0.9449275362318841	0.03059878585318554	32.25813113485363	0.023255813953488372	558474.0	core	166.31635469431356	False	True	True	False	True	False	1.3277305525245755	0.8565440794332153	0.08083187336125637
SC_RS24270		SCO4421	TetR family transcriptional regulator	TetR	4837557	4838192	-	0	Shielded	636	0.6525157232704403	0.8537735849056604	0.060555165473038186	39.99478548663079	0.08530805687203792	565181.5	core	246.43779563635533	False	True	True	False	True	False	-1.5498489543450966	-1.8776916580837424	-0.8496809880002317
SC_RS24295	afsR	SCO4426	transcriptional regulator AfsR	Other regulatory	4842787	4845768	-	0	Shielded	2982	0.7515090543259557	0.9305835010060363	0.016254750627337722	30.49306142861757	0.02014098690835851	571584.5	core	773.569971781392	True	True	True	False	True	False	-0.2613866005478055	-0.9176001898500752	1.3766314473473802
SC_RS24335		SCO4434	LysR family transcriptional regulator	LysR	4853069	4853965	+	0	Shielded	897	0.7603121516164995	0.9565217391304348	0.04219298875173627	30.47812544592506	0.010067114093959731	580824.0	core	110.50141666046824	False	True	True	False	True	False	-0.5661289350968162	-0.6469947036519791	0.1411499945463939
SC_RS24370		SCO4441	helix-turn-helix domain-containing protein	HTH (other)	4863650	4864507	+	0	Shielded	858	0.6864801864801865	0.9615384615384616	0.047209711159763024	29.672943156604244	0.014035087719298246	591385.5	core	1334.7751867254092	False	True	True	False	True	False	3.6890665244051695	2.476749784315345	0.2685565803005348
SC_RS24380		SCO4443	MerR family transcriptional regulator	MerR	4864966	4865850	-	0	Exposed	885	0.7502824858757062	0.9457627118644067	0.031433961485708206	29.261345042901866	0.04081632653061224	592715.0	core	717.3174880669783	False	True	True	False	True	False	2.1231739543915493	0.600174221573686	0.09039202259325244
SC_RS24390		SCO4445	ArsR/SmtB family transcription factor	ArsR	4866642	4867625	-	0	Shielded	984	0.7713414634146342	0.9573170731707317	0.04298832279203313	32.11223991313182	0.01834862385321101	594440.5	core	116.31904928620516	False	True	True	False	True	False	-1.5746384719887423	-1.054435961601652	0.04717543212254287
SC_RS24415		SCO4450	TetR/AcrR family transcriptional regulator	TetR	4872011	4872658	+	0	Shielded	648	0.7407407407407407	0.9675925925925926	0.05326384221389402	30.203814229281946	0.013953488372093023	599641.5	core	28.17857198813594	False	True	True	False	True	False	-1.5624594138570886	0.0387486580091737	-0.002125686955229903
SC_RS24425		SCO4452	RNA polymerase sigma factor	Sigma factor	4874365	4875516	-	0	Shielded	1152	0.7673611111111112	0.953125	0.03879624962130146	31.140852706210413	0.020887728459530026	602247.5	core	143.538998346566	False	True	True	False	True	False	0.4402004152934874	0.5949085230891418	0.1308487491926254
SC_RS24435		SCO4454	TetR/AcrR family transcriptional regulator	TetR	4876023	4876625	-	0	Shielded	603	0.7263681592039801	0.9353233830845771	0.020994632705878535	32.906972810837914	0.03	603631.0	core	135.0704210743419	False	True	True	False	True	False	-1.8167566366869272	-1.6732570207250417	-0.07049510624609982
SC_RS24470		SCO4461	TetR/AcrR family transcriptional regulator	TetR	4882032	4882589	-	0	Shielded	558	0.7043010752688172	0.9354838709677419	0.02115512058904334	27.51202042521809	0.010810810810810811	609617.5	core	45.09272528232456	False	True	True	False	True	True	-0.3231041185646008	0.0022550163190532	0.22814634022476477
SC_RS24490		SCO4465	PadR family transcriptional regulator	PadR	4884950	4885462	+	0	Shielded	513	0.695906432748538	0.8362573099415205	0.07807144043717806	35.42619350095481	0.041176470588235294	612513.0	core	48.39190226056317	False	True	True	False	True	False	-0.9288366549900312	-0.5434796815102614	-0.515026477041689
SC_RS24545		SCO4477	MerR family transcriptional regulator	MerR	4896795	4897511	-	0	Shielded	717	0.7712691771269177	0.9037656903765691	0.010563060002129476	32.007671531607734	0.04201680672268908	624460.0	core	40.95897691590045	False	True	True	False	True	False	-0.936015561425914	0.4359526968508628	-0.05951565507076795
SC_RS24560		SCO4480	TetR/AcrR family transcriptional regulator	TetR	4899301	4899900	-	0	Shielded	600	0.7283333333333334	0.935	0.020671249621301513	33.098974523491194	0.010050251256281407	626907.5	core	81.27489941775713	False	True	True	False	True	False	-1.7970783779029191	-0.8932341757950285	0.05554154629788198
SC_RS24570		SCO4482	LysR family transcriptional regulator	LysR	4901972	4902850	-	0	Shielded	879	0.7610921501706485	0.9522184300341296	0.03788967965543111	30.72890391392746	0.017123287671232876	629718.0	core	159.25165556704462	False	True	True	False	True	False	-1.571322682931436	-1.4994690102084798	0.10277098910159456
SC_RS24585		SCO4485	helix-turn-helix transcriptional regulator	HTH (other)	4903856	4904881	-	0	Shielded	1026	0.776803118908382	0.9473684210526315	0.033039670673932986	31.409819597345194	0.01466275659824047	631675.5	core	89.84962268266503	False	True	True	False	True	False	-1.3480782587503002	-0.6867825694002028	0.14783532177164327
SC_RS24625			Lrp/AsnC family transcriptional regulator	Lrp	4912747	4913204	+	0	Shielded	458	0.6965065502183406	0.7039473684210527	0.21038138195764589	53.047724847766716	0.16556291390728478	640282.5	core	208.7909837141961	False	False	True	False	False	False	-1.3222267322689032	-2.2028859807138037	-3.5177873623088556
SC_RS24635		SCO4495	UdgX family uracil-DNA binding protein	Other regulatory	4914637	4915275	+	0	Exposed	639	0.7370892018779343	0.8967136150234741	0.01761513535522441	33.6684753213515	0.02830188679245283	642263.0	core	66.48965648397376	False	True	True	False	True	False	-2.524458093106345	-1.2942444890352447	-0.07008401177126691
SC_RS24660		SCO4499	TetR/AcrR family transcriptional regulator	TetR	4917934	4918656	+	0	Shielded	723	0.7455048409405256	0.9336099585062241	0.01928120812752554	30.96025436115464	0.029166666666666667	645602.0	core	774.9057642094848	False	True	True	False	True	False	-0.1927766726713451	-2.7169428080576745	0.12675550672867206
SC_RS24870	whiJ	SCO4543	transcriptional regulator WhiJ	Other regulatory	4959584	4960435	-	0	Shielded	852	0.6713615023474179	0.8028169014084507	0.1115118489702478	41.59022032204274	0.06713780918727916	687316.5	core	377.0470513942181	True	True	True	False	True	False	-1.1054600380815596	-1.9032948991624072	-0.379370714094119
SC_RS24895		SCO4548	bacterial transcriptional activator domain-containing protein	Activator	4964061	4967069	+	0	Shielded	3009	0.7560651379195746	0.9491525423728814	0.03482379199418284	30.112657974682687	0.0249500998003992	692872.0	core	1192.356230197153	False	True	True	False	True	False	-1.2079929326540595	-2.3572891683439856	0.7995675960669528
SC_RS25095		SCO4588	tetratricopeptide repeat protein	TetR	5010296	5011708	+	0	Shielded	1413	0.7699929228591649	0.8895966029723992	0.024732147406299365	33.5377810978606	0.027659574468085105	738309.0	core	777.8520753598918	False	True	True	False	True	False	-2.727342227863869	-1.1418630887396406	0.2128117571194593
SC_RS25135		SCO4596	response regulator transcription factor	Response regulator	5019699	5020358	-	0	Shielded	660	0.703030303030303	0.9136363636363637	0.0006923867423348495	34.256527601784825	0.0593607305936073	747335.5	core	272.3650199173934	False	True	True	False	True	False	-0.6323857389663057	-0.8058519147902131	-0.20318119666945195
SC_RS25140		SCO4597	sensor histidine kinase	Sensor kinase	5020678	5022045	-	0	Shielded	1368	0.7258771929824561	0.9539473684210527	0.039618618042354115	28.476990806368327	0.03076923076923077	748668.5	core	164.0079849380794	False	True	True	False	True	True	-0.101567528967933	-0.0768748208828119	0.2136853092773028
SC_RS25145		SCO4598	sensor histidine kinase	Sensor kinase	5022159	5023382	-	0	Shielded	1224	0.7238562091503268	0.9485294117647058	0.0342006613860073	31.86073003063259	0.0343980343980344	750077.5	core	141.53013333695853	False	True	True	False	True	False	0.6024740268693711	0.3968472738338276	0.05024664481600205
SC_RS25300		SCO4628	GntR family transcriptional regulator	GntR	5049893	5050702	+	0	Shielded	810	0.6506172839506172	0.7592592592592593	0.15506949111943924	46.211157094343406	0.10780669144981413	777604.5	core	606.9780444961208	False	True	True	False	True	False	-2.0652461669455877	-2.6631263159784853	-1.531666203487681
SC_RS25320	fxsT	SCO4632	FxSxx-COOH system tetratricopeptide repeat protein	TetR	5055828	5058728	+	0	Shielded	2901	0.6745949672526715	0.7993795243019648	0.11494922607673375	38.802915174789334	0.07453416149068323	784585.0	core	622.9421268010132	True	True	True	False	True	False	1.3698366358429046	0.8631844669614418	0.2447906344366794
SC_RS25370		SCO4639	TetR/AcrR family transcriptional regulator	TetR	5063734	5064339	+	0	Exposed	606	0.740924092409241	0.9207920792079208	0.006463328829222292	34.82129245316489	0.03482587064676617	791343.5	core	156.74722867162407	False	True	True	False	True	False	-1.205765616879327	-2.258394035683855	-0.10607437454507328
SC_RS25375		SCO4640	TetR/AcrR family transcriptional regulator	TetR	5064405	5064998	+	0	Shielded	594	0.6868686868686869	0.9444444444444444	0.03011569406574588	32.43557344985316	0.025380710659898477	792008.5	core	424.6457086052709	False	True	True	False	True	False	-0.8571986010981619	-2.4460366852246627	-0.025327650197233462
SC_RS25415	nusG	SCO4647	transcription termination/antitermination protein NusG	Other regulatory	5071761	5072663	+	0	Shielded	903	0.6877076411960132	0.9767441860465116	0.062415435667813046	25.0739902208946	0.006666666666666667	799519.0	core	3011.874489525243	True	True	True	False	True	False	-2.2798853152190977	-3.3203640307383244	1.1864888251955197
SC_RS25495		SCO4663	AfsR/SARP family transcriptional regulator	SARP	5093313	5093666	-	0	Shielded	354	0.7203389830508474	0.847457627118644	0.06687112326005451	39.46048731140456	0.02564102564102564	820796.5	core	164.52396484614167	False	True	True	False	True	False	-1.4000332177522306	-2.352910852225963	-0.5291692150872381
SC_RS25510		SCO4667	sensor histidine kinase	Sensor kinase	5097181	5098476	+	0	Shielded	1296	0.7723765432098766	0.9421296296296297	0.02780087925093111	30.825367643442103	0.03480278422273782	825135.5	core	48.55332478370942	False	True	True	False	True	False	0.0492268027202965	1.354422239972202	0.11857332856042259
SC_RS25515		SCO4668	response regulator	Response regulator	5098476	5099108	+	0	Shielded	633	0.7456556082148499	0.957345971563981	0.043017221185282506	29.785102096425717	0.014285714285714285	826099.0	core	188.3332592539287	False	True	True	False	True	False	-1.3478537192778712	-1.681906818486074	0.07041083647937171
SC_RS25530		SCO4671	LysR family transcriptional regulator	LysR	5102043	5102990	-	0	Shielded	948	0.7552742616033755	0.9525316455696202	0.03820289519092168	29.682084606353907	0.009523809523809525	829823.5	core	104.09181024532118	False	True	True	False	True	True	0.3263885896825622	-0.0697367489921439	0.2029450201956108
SC_RS25540		SCO4673	helix-turn-helix transcriptional regulator	HTH (other)	5104850	5105851	-	0	Shielded	1002	0.7594810379241517	0.9311377245508982	0.01680897417219962	32.09046962762088	0.03303303303303303	832657.5	core	333.8832001790699	False	True	True	False	True	False	0.8481791523313935	-0.07235781718329	0.08972397768659805
SC_RS25555		SCO4676	helix-turn-helix domain-containing protein	HTH (other)	5107257	5108129	-	0	Shielded	873	0.7491408934707904	0.8934707903780069	0.020857960000691622	33.12796032963357	0.03793103448275862	835000.0	core	349.6614775290574	False	True	True	False	True	False	4.939406509538911	4.73981318768655	-0.031309416623449264
SC_RS25565		SCO4678	helix-turn-helix domain-containing protein	HTH (other)	5108924	5109772	+	0	Shielded	849	0.6607773851590106	0.8374558303886925	0.076872919990006	38.049332012939445	0.0851063829787234	836655.0	core	379.80815616736294	False	True	True	False	True	False	2.0018099990246654	1.8721278986985064	-0.7736492926989479
SC_RS25575		SCO4680	helix-turn-helix transcriptional regulator	HTH (other)	5109911	5110819	-	0	Shielded	909	0.7392739273927392	0.9438943894389439	0.02956563906024534	32.47677300696381	0.023178807947019868	837672.0	core	316.46231839370085	False	True	True	False	True	True	0.2989238993813005	-0.0187242002519772	0.0630776495100864
SC_RS25615		SCO4688	MerR family transcriptional regulator	MerR	5116372	5116728	-	0	Shielded	357	0.7002801120448179	0.8319327731092437	0.0823959772694548	39.80053923798894	0.059322033898305086	843857.0	core	222.94759298122085	False	True	True	False	True	False	-0.209928149986379	-0.5714430683266386	-0.8336124947043034
SC_RS25875		SCO4743	helix-turn-helix domain-containing protein	HTH (other)	5157368	5157973	+	0	Shielded	606	0.7491749174917491	0.9455445544554455	0.031215804076746956	30.62143959054064	0.01990049751243781	884977.5	core	80.06099402560965	False	True	True	False	True	False	-0.967189016491167	-0.953443929319538	0.030525218299292185
SC_RS25930		SCO4754	LacI family DNA-binding transcriptional regulator	LacI	5165438	5166505	+	0	Shielded	1068	0.7490636704119851	0.949438202247191	0.03510945186849246	29.770409512430174	0.02535211267605634	893278.5	core	135.51267024144576	False	True	True	False	True	False	-1.4578583039993318	-1.258889091590241	0.13943503972666144
SC_RS25945		SCO4757	RNA polymerase sigma factor	Sigma factor	5168216	5169475	+	0	Shielded	1260	0.7555555555555555	0.9571428571428572	0.042814106764158644	27.881849690430315	0.00954653937947494	896152.5	core	76.02003220662385	False	True	True	False	True	True	-0.4996091207829694	0.1205124529713606	0.32814264055210224
SC_RS25990		SCO4766	LysR family transcriptional regulator	LysR	5178021	5178941	+	0	Exposed	921	0.758957654723127	0.9413680781758957	0.0270393277971972	30.71741839201226	0.0196078431372549	905788.0	core	179.0115674051012	False	True	True	False	True	False	-0.5614154947959401	-1.193490472610386	0.14594063009634164
SC_RS25995		SCO4767	WhiB family transcriptional regulator	WhiB	5179007	5179345	-	0	Shielded	339	0.7256637168141593	0.8407079646017699	0.07362078577692865	41.38143342009515	0.044642857142857144	906483.0	core	33.517026930828095	False	True	True	False	True	False	0.3372120358810323	1.041179122398211	-0.7789404122449033
SC_RS26000		SCO4768	response regulator transcription factor	Response regulator	5179727	5180338	+	0	Shielded	612	0.7450980392156863	0.946078431372549	0.03174968099385045	29.465044351676433	0.024630541871921183	907339.5	core	3024.9454311445797	False	True	True	False	True	False	5.824307395274568	5.196971877449515	0.41944274494047423
SC_RS26005		SCO4769	sigma-70 family RNA polymerase sigma factor	Sigma factor	5180620	5181207	+	0	Shielded	588	0.7380952380952381	0.9540816326530612	0.03975288227436269	30.804548344139377	0.03076923076923077	908220.5	core	770.7969674913782	False	True	True	False	True	False	1.475222471033223	0.9064836913147282	-0.003310705416060013
SC_RS26125		SCO4792	LuxR C-terminal-related transcriptional regulator	Other regulatory	5213402	5214157	+	0	Shielded	756	0.7367724867724867	0.9642857142857143	0.04995696390701576	28.184516608214615	0.01593625498007968	941086.5	core	444.79993996849686	False	True	True	False	True	True	0.3273725462957085	-0.1642533506395704	0.15255206339945473
SC_RS26210		SCO4810	helix-turn-helix domain-containing protein	HTH (other)	5237203	5238327	-	0	Shielded	1125	0.7644444444444445	0.904	0.010328750378698515	32.0913391731378	0.0213903743315508	965072.0	core	155.89432524389656	False	True	True	False	True	False	-2.17145770037917	-1.766939026493479	0.20900232200998328
SC_RS26275		SCO4822	single stranded DNA-binding domain-containing protein	Other regulatory	5253098	5253685	-	0	Shielded	588	0.6836734693877551	0.923469387755102	0.009140637376403471	35.99213707524896	0.03076923076923077	980698.5	core	1304.7421382985235	False	True	True	False	True	False	-1.6047966712141806	-4.157155914136255	0.013731022434906886
SC_RS26280		SCO4824	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	TetR	5253981	5254835	+	0	Shielded	855	0.7216374269005847	0.9543859649122807	0.04005721453358213	28.043224097611283	0.017605633802816902	981715.0	core	1112.1958751232166	False	True	True	False	True	False	-1.040301816310672	-2.6532674788759465	0.30152544037788226
SC_RS26290		SCO4826	XRE family transcriptional regulator	XRE	5255754	5257154	+	0	Shielded	1401	0.7637401855817273	0.9379014989293362	0.023572748550637623	31.332490711408354	0.032188841201716736	983761.0	core	1286.352813251047	False	True	True	False	True	False	-1.3875765985470283	-1.6562442869253644	0.32622134663712543
SC_RS26340	pdxR	SCO4836	MocR-like pyridoxine biosynthesis transcription factor PdxR	Other regulatory	5267682	5269070	+	0	Shielded	1389	0.7796976241900648	0.9438444924406048	0.029515742061906214	30.770696696606016	0.03463203463203463	995683.0	core	37.42337847233556	True	True	True	False	True	False	-0.4834644641256183	1.6963296035271735	0.6781668240704782
SC_RS26410		SCO4850	TetR/AcrR family transcriptional regulator	TetR	5281448	5282203	-	0	Shielded	756	0.7063492063492064	0.9563492063492064	0.04202045597050785	29.8762450062122	0.0199203187250996	1009132.5	core	108.8117735261553	False	True	True	False	True	False	-1.2035966688171895	-1.6755757494977948	0.05546382536508475
SC_RS26480		SCO4864	RNA polymerase sigma factor	Sigma factor	5292481	5293098	+	0	Shielded	618	0.7572815533980582	0.9029126213592233	0.011416129019475196	31.060034419111084	0.03902439024390244	1020096.5	core	18.263976619501157	False	True	True	False	True	False	-1.02524124721721	0.1152658018898235	-0.03901587581153304
SC_RS26490		SCO4866	RNA polymerase sigma factor	Sigma factor	5294399	5295061	+	0	Shielded	663	0.746606334841629	0.9004524886877828	0.013876261690915714	32.056990176654224	0.03636363636363636	1022037.0	core	91.2244569436346	False	True	True	False	True	False	-2.383232055363211	-1.4626858479832872	-0.04411739644944678
SC_RS26515		SCO4871	TetR/AcrR family transcriptional regulator	TetR	5300705	5301355	+	0	Shielded	651	0.7050691244239631	0.9216589861751152	0.007330235796416673	34.20368965628477	0.037037037037037035	1028337.0	core	155.9524135583541	False	True	True	False	True	False	0.4513157771405439	-0.5839519555833844	-0.09129030175759478
SC_RS26620		SCO4892	winged helix-turn-helix domain-containing protein	HTH (other)	5326010	5327032	+	0	Shielded	1023	0.7497556207233627	0.8944281524926686	0.019900597886029936	33.37957077411766	0.03823529411764706	1053828.0	core	144.74298017852078	False	True	True	False	True	False	0.9238363450830216	0.9062700782333312	-0.02374052037321221
SC_RS26635		SCO4895	sigma-70 family RNA polymerase sigma factor	Sigma factor	5328418	5329422	-	0	Shielded	1005	0.7213930348258707	0.9731343283582089	0.05880557797951036	28.604739040601547	0.014970059880239521	1056227.0	core	1651.9432638339997	False	True	True	False	True	True	-0.3572705276266575	-0.4684976545923399	0.331678506351103
SC_RS26645		SCO4897	LysR family transcriptional regulator	LysR	5330904	5331857	+	0	Shielded	954	0.7515723270440252	0.949685534591195	0.03535678421249644	30.0298444041407	0.025236593059936908	1058687.5	core	88.41204053771	False	True	True	False	True	True	-0.2632247148964326	-0.2044977390455498	0.09278365161327691
SC_RS26650		SCO4898	TetR/AcrR family transcriptional regulator	TetR	5331991	5332572	-	0	Shielded	582	0.7319587628865979	0.8865979381443299	0.027730812234368685	35.95696067046866	0.05699481865284974	1059588.5	core	89.19621014049049	False	True	True	False	True	False	-0.3902521759323373	-0.7362251068966149	-0.4062205695901198
SC_RS26690	afsQ2	SCO4906	two-component system sensor histidine kinase AfsQ2	Sensor kinase	5337921	5339528	-	0	Shielded	1608	0.7220149253731343	0.9626865671641791	0.04835781678548057	28.83712546412556	0.022429906542056073	1066031.5	core	1137.9158775833102	True	True	True	False	True	False	-1.258153952747587	-2.3120036446812424	0.9538795162859734
SC_RS26695	afsQ1	SCO4907	two-component system response regulator AfsQ1	Response regulator	5339525	5340202	-	0	Shielded	678	0.6991150442477876	0.915929203539823	0.0016004531611244488	31.53116655092357	0.04888888888888889	1067170.5	core	1004.0103782191536	True	True	True	False	True	False	-1.4448293409983173	-2.329414784975276	0.6012947113298001
SC_RS26700		SCO4908	SigE family RNA polymerase sigma factor	Sigma factor	5340411	5341142	+	0	Shielded	732	0.6967213114754098	0.9344262295081968	0.02009747912949822	31.71830054857031	0.01646090534979424	1068083.5	core	2483.8850777204743	False	True	True	False	True	False	-2.8452588985786473	-0.3283467521870551	0.4094487927909789
SC_RS26760		SCO4920	DeoR/GlpR family DNA-binding transcription regulator	DeoR	5354193	5355182	+	0	Shielded	990	0.7232323232323232	0.8575757575757575	0.056752992802940994	36.61412935899041	0.057750759878419454	1081994.5	core	10219.93522957423	False	True	True	False	True	False	5.322267550234008	3.92797770162459	0.8678340509821935
SC_RS26855	sigJ	SCO4938	RNA polymerase sigma factor SigJ	Sigma factor	5373018	5373932	+	0	Exposed	915	0.7366120218579235	0.9344262295081968	0.02009747912949822	31.655597108234165	0.023026315789473683	1100782.0	core	35.54905241908583	True	True	True	False	True	False	-1.018259879132294	1.3362125833071603	0.6381213731206538
