# Program:featureCounts v2.1.1; Command:"/Users/okaban/miniconda3/envs/rna-seq/bin/featureCounts" "-T" "6" "-p" "--countReadPairs" "-B" "-C" "-s" "2" "-t" "gene" "-g" "gene_id" "-a" "/Users/okaban/SFC-CNS Dropbox/Takeda Tomoki/my_projects/2026/M145_RNA-seq/data/RH250715199/02_M145-ref/ncbi_dataset/data/GCF_000203835.1/genomic.gtf" "-o" "/Users/okaban/bioinfo/rna-seq/03_quantification/data/featureCounts_s2/featureCounts_M145_s2.txt" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_1.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_2.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_3.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_1.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_3.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_4.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_2.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_3.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_4.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_1.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_2.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_3.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_1.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_3.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_4.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_2.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_3.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_4.Aligned.sortedByCoord.out.bam
SC_RS24785	NC_003888.3	4946742	4948049	+	1308	351	286	369	106	87	108	128	69	111
SC_RS24790	NC_003888.3	4948063	4949100	+	1038	523	444	669	155	135	161	136	105	114
SC_RS24795	NC_003888.3	4949097	4950017	+	921	776	720	976	173	150	167	270	234	177
SC_RS24800	NC_003888.3	4950107	4950367	+	261	267	255	275	62	64	46	88	78	85
SC_RS24805	NC_003888.3	4950575	4950955	+	381	314	313	375	47	42	46	71	56	68
SC_RS24810	NC_003888.3	4950956	4951393	+	438	145	147	201	32	26	26	46	32	46
SC_RS24815	NC_003888.3	4951390	4951851	+	462	64	52	78	8	5	11	61	15	35
SC_RS24820	NC_003888.3	4951930	4952256	+	327	153	170	210	44	30	27	87	63	68
SC_RS24825	NC_003888.3	4952253	4953677	+	1425	1016	817	1198	258	202	271	387	376	295
SC_RS24830	NC_003888.3	4953674	4955002	+	1329	538	491	603	132	117	133	229	151	175
SC_RS24835	NC_003888.3	4954999	4955643	+	645	77	88	91	17	16	16	83	28	47
SC_RS24840	NC_003888.3	4955652	4956245	+	594	82	74	142	24	25	27	68	31	54
SC_RS24845	NC_003888.3	4956301	4956636	-	336	272	204	253	118	105	114	105	99	111
SC_RS24850	NC_003888.3	4956659	4957264	-	606	409	331	469	94	86	90	82	89	81
SC_RS24855	NC_003888.3	4957302	4957697	-	396	160	163	205	56	68	53	48	37	61
SC_RS24860	NC_003888.3	4957723	4959303	-	1581	464	340	520	142	114	147	192	115	165
SC_RS24865	NC_003888.3	4959382	4959573	-	192	54	40	74	29	46	27	30	15	17
SC_RS24870	NC_003888.3	4959584	4960435	-	852	445	395	586	215	176	181	156	147	152
SC_RS24875	NC_003888.3	4960649	4961074	+	426	38	33	45	140	146	136	118	84	69
SC_RS24880	NC_003888.3	4961108	4962022	+	915	243	200	308	1061	960	936	611	541	451
SC_RS24885	NC_003888.3	4962128	4962778	+	651	386	369	482	248	213	257	196	192	157
SC_RS24890	NC_003888.3	4962778	4963845	+	1068	623	583	717	183	171	223	228	159	174
SC_RS24895	NC_003888.3	4964061	4967069	+	3009	1745	1594	2093	699	509	780	540	309	410
SC_RS24900	NC_003888.3	4967066	4967845	+	780	90	79	89	20	23	30	53	23	37
SC_RS24905	NC_003888.3	4967924	4969123	+	1200	1318	1249	1580	702	699	949	511	503	437
SC_RS24910	NC_003888.3	4969131	4969730	+	600	262	229	338	158	128	134	115	82	85
SC_RS24915	NC_003888.3	4969766	4970770	-	1005	15	16	18	32	15	21	98	35	99
SC_RS24920	NC_003888.3	4970964	4971383	+	420	6	3	2	1	0	1	38	4	27
SC_RS24925	NC_003888.3	4971401	4973632	+	2232	7	6	7	5	1	6	167	48	121
SC_RS24930	NC_003888.3	4973632	4974723	+	1092	8	8	5	1	1	4	76	19	65
SC_RS24935	NC_003888.3	4974767	4975462	+	696	1019	1162	1346	438	407	449	410	430	346
SC_RS24940	NC_003888.3	4975449	4975796	-	348	54	56	74	105	81	83	101	75	89
SC_RS24945	NC_003888.3	4975855	4976418	-	564	29	24	30	249	163	189	170	134	176
SC_RS24950	NC_003888.3	4976516	4977808	+	1293	1318	1317	1729	670	712	892	710	634	570
SC_RS24955	NC_003888.3	4977869	4978495	-	627	419	381	544	119	128	129	122	98	114
SC_RS24960	NC_003888.3	4978629	4979462	-	834	4556	3901	5662	1344	1478	1822	1226	1207	1013
SC_RS24965	NC_003888.3	4980274	4980633	+	360	6	6	9	124	102	93	527	513	474
SC_RS24970	NC_003888.3	4980646	4981200	+	555	11	8	8	155	129	125	849	779	700
SC_RS24975	NC_003888.3	4981197	4981952	+	756	13	17	11	139	110	122	735	731	637
SC_RS24980	NC_003888.3	4981949	4983271	+	1323	40	42	41	259	266	321	1482	1440	1325
SC_RS24985	NC_003888.3	4983268	4984140	+	873	76	66	89	188	169	185	836	853	724
SC_RS24990	NC_003888.3	4984137	4985486	+	1350	412	371	503	502	385	400	1792	1583	1485
SC_RS24995	NC_003888.3	4985483	4988014	+	2532	21	24	34	585	459	439	2382	2527	2199
SC_RS25000	NC_003888.3	4988011	4989414	+	1404	19	12	17	264	237	236	1352	1444	1228
SC_RS25005	NC_003888.3	4989407	4990084	+	678	40	24	48	158	125	130	959	882	835
SC_RS25010	NC_003888.3	4990081	4990938	+	858	30	40	21	201	160	183	937	951	822
SC_RS25015	NC_003888.3	4990935	4991234	+	300	2	2	9	52	38	42	292	252	224
SC_RS25020	NC_003888.3	4991249	4993213	+	1965	44	48	40	523	360	381	2314	2395	2204
SC_RS25025	NC_003888.3	4993219	4994790	+	1572	43	21	35	368	275	342	1698	1692	1496
SC_RS25030	NC_003888.3	4994787	4996445	+	1659	32	28	44	329	275	292	1659	1760	1621
SC_RS25035	NC_003888.3	4996565	4997164	-	600	94	93	113	168	129	176	224	182	189
SC_RS25040	NC_003888.3	4997397	4999427	+	2031	1049	920	1245	774	644	783	684	580	647
SC_RS25045	NC_003888.3	4999466	4999654	-	189	68	48	73	45	33	34	57	22	43
SC_RS25050	NC_003888.3	4999752	5000690	-	939	128	119	123	204	198	245	223	184	171
SC_RS25055	NC_003888.3	5000997	5002253	-	1257	238	277	351	1000	837	1233	475	459	382
SC_RS25060	NC_003888.3	5002738	5003547	+	810	183	145	192	2024	1631	1977	699	679	591
SC_RS25065	NC_003888.3	5003571	5004062	-	492	40	18	35	44	27	27	74	33	73
SC_RS25070	NC_003888.3	5004917	5005927	+	1011	1978	2018	2414	259	235	303	456	400	401
SC_RS25075	NC_003888.3	5006187	5007449	+	1263	1272	1130	1465	2092	1836	2035	6628	7381	6927
SC_RS25080	NC_003888.3	5007502	5008485	+	984	511	420	555	595	542	636	1869	2095	1928
SC_RS25085	NC_003888.3	5008472	5009416	+	945	269	275	322	433	289	363	450	408	419
SC_RS25090	NC_003888.3	5009444	5010046	-	603	347	331	441	894	815	1230	136	68	109
SC_RS25095	NC_003888.3	5010296	5011708	+	1413	1192	979	1297	161	123	131	615	719	675
SC_RS25100	NC_003888.3	5011745	5012719	-	975	47	47	56	60	34	58	98	41	83
SC_RS25105	NC_003888.3	5012930	5013400	-	471	113	97	145	197	189	172	138	107	111
SC_RS25110	NC_003888.3	5013530	5014102	+	573	203	220	271	74	46	37	106	67	81
SC_RS25115	NC_003888.3	5014126	5015214	-	1089	388	354	450	482	401	354	360	258	228
SC_RS25120	NC_003888.3	5015360	5016214	-	855	44	37	62	158	122	190	117	80	77
SC_RS25125	NC_003888.3	5016376	5017434	-	1059	78	88	98	313	319	381	351	286	249
SC_RS25130	NC_003888.3	5017427	5019364	-	1938	866	914	1169	3093	2847	3100	2426	2724	2224
SC_RS25135	NC_003888.3	5019699	5020358	-	660	277	267	347	183	152	141	263	188	205
SC_RS25140	NC_003888.3	5020678	5022045	-	1368	154	133	157	125	118	79	182	98	171
SC_RS25145	NC_003888.3	5022159	5023382	-	1224	92	80	97	120	91	128	166	91	141
SC_RS25150	NC_003888.3	5023578	5024018	+	441	76	71	73	34	36	37	38	12	44
SC_RS25155	NC_003888.3	5024009	5024713	+	705	220	158	230	105	135	111	75	51	63
SC_RS25160	NC_003888.3	5024710	5026071	+	1362	486	488	604	191	181	244	139	85	107
SC_RS25165	NC_003888.3	5026068	5027036	+	969	213	193	237	121	109	116	116	64	85
SC_RS25170	NC_003888.3	5027036	5027629	+	594	145	132	197	52	67	98	67	44	56
SC_RS25175	NC_003888.3	5027626	5028219	+	594	104	115	137	58	65	72	55	36	50
SC_RS25180	NC_003888.3	5028219	5028611	+	393	47	49	87	30	20	52	39	24	29
SC_RS25185	NC_003888.3	5028608	5030602	+	1995	334	329	457	125	110	144	180	62	163
SC_RS25190	NC_003888.3	5030609	5032213	+	1605	473	398	649	146	99	152	174	77	162
SC_RS25195	NC_003888.3	5032210	5033757	+	1548	133	126	136	81	70	98	161	65	127
SC_RS25200	NC_003888.3	5033984	5034847	+	864	505	483	569	238	164	367	341	270	274
SC_RS25205	NC_003888.3	5034844	5035260	+	417	85	62	72	90	90	132	119	114	111
SC_RS25210	NC_003888.3	5035358	5035951	+	594	378	312	431	137	97	140	186	137	132
SC_RS25215	NC_003888.3	5036030	5037274	-	1245	319	299	392	1564	1360	1325	308	195	186
SC_RS25220	NC_003888.3	5037414	5037680	+	267	876	806	1059	132	106	132	340	374	285
SC_RS25225	NC_003888.3	5037788	5038276	-	489	1765	1587	2184	1295	1177	1064	698	647	515
SC_RS25230	NC_003888.3	5038512	5038593	+	82	40	43	49	5	6	14	31	4	27
SC_RS25235	NC_003888.3	5038758	5040125	-	1368	9	6	6	8	5	7	114	29	86
SC_RS25240	NC_003888.3	5040186	5040371	-	186	2	0	0	1	1	3	19	4	15
SC_RS25245	NC_003888.3	5040809	5042281	-	1473	2	9	5	6	2	3	127	22	94
SC_RS25250	NC_003888.3	5042283	5043134	-	852	4	4	4	0	0	1	53	15	44
SC_RS25255	NC_003888.3	5043224	5043691	-	468	2	2	5	5	3	1	49	11	31
SC_RS25260	NC_003888.3	5043865	5045910	-	2046	18	17	33	10	14	13	121	46	138
SC_RS25265	NC_003888.3	5045925	5046464	-	540	2	4	2	3	4	0	35	12	40
SC_RS25270	NC_003888.3	5046484	5046984	-	501	1	6	4	4	1	0	39	18	33
SC_RS25275	NC_003888.3	5047158	5047313	+	156	34	34	40	24	18	23	45	21	45
SC_RS25280	NC_003888.3	5047328	5047663	-	336	7	10	10	1	1	2	23	7	24
SC_RS25285	NC_003888.3	5047663	5048670	-	1008	11	10	15	2	8	3	53	11	39
SC_RS25290	NC_003888.3	5048667	5049200	-	534	13	3	11	2	5	1	28	6	17
SC_RS25295	NC_003888.3	5049197	5049466	-	270	7	6	6	1	4	2	26	2	20
SC_RS25300	NC_003888.3	5049893	5050702	+	810	920	863	1256	222	186	221	221	177	205
SC_RS25305	NC_003888.3	5050699	5051364	+	666	480	452	631	166	106	113	136	85	137
SC_RS25310	NC_003888.3	5051465	5052373	-	909	96	84	117	57	67	54	72	46	77
SC_RS25315	NC_003888.3	5052984	5054666	-	1683	477	459	597	911	803	808	279	175	209
SC_RS25320	NC_003888.3	5055828	5058728	+	2901	97	97	121	493	416	469	652	459	538
SC_RS25325	NC_003888.3	5058797	5059018	+	222	70	62	70	79	62	56	71	53	54
SC_RS25330	NC_003888.3	5059025	5059681	-	657	359	360	455	336	333	314	239	228	186
SC_RS25335	NC_003888.3	5059786	5061090	-	1305	47	34	51	99	71	90	155	61	122
SC_RS25340	NC_003888.3	5061316	5061388	+	73	3	1	4	0	3	0	10	4	14
SC_RS25345	NC_003888.3	5061435	5061507	+	73	355	320	472	55	64	111	49	38	53
SC_RS25350	NC_003888.3	5061599	5061763	+	165	1390	1220	1693	294	301	462	355	448	277
SC_RS25355	NC_003888.3	5061859	5062311	+	453	938	982	1303	605	698	742	645	552	444
SC_RS25360	NC_003888.3	5062317	5062745	+	429	873	735	1088	898	877	919	718	776	563
SC_RS25365	NC_003888.3	5062845	5063669	-	825	163	141	190	90	74	82	79	47	92
SC_RS25370	NC_003888.3	5063734	5064339	+	606	217	201	335	76	82	102	63	52	61
SC_RS25375	NC_003888.3	5064405	5064998	+	594	535	525	663	297	211	310	147	110	146
SC_RS25380	NC_003888.3	5065114	5066586	+	1473	80	65	97	16	16	22	105	30	83
SC_RS25385	NC_003888.3	5066624	5067004	+	381	14	12	15	6	6	2	26	5	21
SC_RS25390	NC_003888.3	5067097	5068152	+	1056	1089	987	1287	320	289	359	305	275	279
SC_RS25395	NC_003888.3	5068592	5069623	-	1032	145	120	135	186	149	153	199	148	177
SC_RS25400	NC_003888.3	5069749	5070975	-	1227	4235	4463	5787	1034	1024	1328	1815	2026	1678
SC_RS25405	NC_003888.3	5071215	5071287	+	73	73	69	64	8	10	17	10	6	17
SC_RS25410	NC_003888.3	5071396	5071680	+	285	1564	1447	1789	391	356	493	383	322	330
SC_RS25415	NC_003888.3	5071761	5072663	+	903	5717	4656	6194	846	867	1078	813	769	623
SC_RS25420	NC_003888.3	5072851	5073285	+	435	16174	15790	20506	4079	3926	4658	3157	3195	2173
SC_RS25425	NC_003888.3	5073369	5074094	+	726	14436	13972	17520	3201	3267	3307	2780	2791	1860
SC_RS25430	NC_003888.3	5074267	5075124	+	858	239	243	312	84	81	115	161	97	143
SC_RS25435	NC_003888.3	5075273	5076121	+	849	2734	2216	3046	354	293	350	1182	1323	1039
SC_RS25440	NC_003888.3	5076440	5076970	+	531	75631	72352	91508	8517	9015	11467	9053	11028	7041
SC_RS25445	NC_003888.3	5077088	5077471	+	384	28904	28864	36264	3761	3689	4548	4800	5612	3646
SC_RS25450	NC_003888.3	5078061	5081546	+	3486	27500	26953	33098	14066	14281	17760	9692	10023	7721
SC_RS25455	NC_003888.3	5081644	5085543	+	3900	34147	33973	40331	19250	19201	22988	11026	12159	9517
SC_RS25460	NC_003888.3	5085653	5086240	+	588	175	140	209	66	68	63	109	76	96
SC_RS25465	NC_003888.3	5086257	5087552	-	1296	470	474	628	69	64	66	215	115	153
SC_RS25470	NC_003888.3	5087653	5088690	+	1038	920	887	1156	233	183	190	253	170	232
SC_RS25475	NC_003888.3	5088946	5089317	+	372	23034	22121	29031	4332	4398	4591	3409	3773	2369
SC_RS25480	NC_003888.3	5089320	5089790	+	471	14138	14161	18371	2444	2641	3078	2272	2660	1625
SC_RS25485	NC_003888.3	5089830	5091956	+	2127	87403	84709	103943	15961	16306	20696	14524	16319	11129
SC_RS25490	NC_003888.3	5092130	5093323	+	1194	84596	82380	104624	38754	35977	42191	30692	34835	24709
SC_RS25495	NC_003888.3	5093313	5093666	-	354	540	534	665	255	186	97	177	95	177
SC_RS25500	NC_003888.3	5093796	5096276	-	2481	60	44	53	4	8	12	158	29	123
SC_RS25505	NC_003888.3	5096270	5097010	-	741	9	5	8	5	4	9	60	19	47
SC_RS25510	NC_003888.3	5097181	5098476	+	1296	29	18	26	19	24	19	86	33	86
SC_RS25515	NC_003888.3	5098476	5099108	+	633	321	265	305	110	80	89	114	111	86
SC_RS25520	NC_003888.3	5099276	5100415	+	1140	235	245	297	99	72	89	291	284	268
SC_RS25525	NC_003888.3	5100500	5101891	-	1392	17	14	21	4	3	3	107	18	86
SC_RS25530	NC_003888.3	5102043	5102990	-	948	85	74	76	76	92	93	119	42	92
SC_RS25535	NC_003888.3	5103076	5104845	-	1770	191	189	229	393	348	467	270	188	243
SC_RS25540	NC_003888.3	5104850	5105851	-	1002	220	204	308	490	456	404	382	322	306
SC_RS25545	NC_003888.3	5105926	5106318	+	393	57	36	63	138	101	71	147	61	127
SC_RS25550	NC_003888.3	5106331	5107239	-	909	163	162	267	1200	1230	1219	952	849	749
SC_RS25555	NC_003888.3	5107257	5108129	-	873	2	1	0	340	340	449	625	461	461
SC_RS25560	NC_003888.3	5108377	5108811	-	435	5	2	3	2923	2981	3369	4144	3951	3221
SC_RS25565	NC_003888.3	5108924	5109772	+	849	97	92	123	368	353	357	594	521	459
SC_RS25570	NC_003888.3	5109769	5109960	+	192	100	94	111	139	152	132	262	219	198
SC_RS25575	NC_003888.3	5109911	5110819	-	909	131	110	180	173	107	113	190	105	164
SC_RS25580	NC_003888.3	5110897	5111655	+	759	27	16	22	92	82	111	77	46	77
SC_RS25585	NC_003888.3	5111657	5111866	+	210	7	3	10	16	11	17	18	13	21
SC_RS25590	NC_003888.3	5112041	5113399	+	1359	577	527	674	579	642	627	470	386	387
SC_RS25595	NC_003888.3	5113748	5113951	+	204	12822	12277	16837	159	309	556	994	1255	1519
SC_RS25600	NC_003888.3	5114162	5115568	+	1407	1017	1007	1321	23	24	27	141	63	129
SC_RS25605	NC_003888.3	5115614	5115925	+	312	256	226	280	36	25	30	55	25	68
SC_RS25610	NC_003888.3	5115961	5116320	-	360	544	443	592	294	257	343	236	279	166
SC_RS25615	NC_003888.3	5116372	5116728	-	357	196	199	217	162	137	164	184	169	169
SC_RS25620	NC_003888.3	5117228	5117560	+	333	13	4	5	90	86	83	440	583	541
SC_RS25625	NC_003888.3	5117670	5118521	+	852	8	10	11	16	22	13	102	97	134
SC_RS25630	NC_003888.3	5118613	5119260	+	648	201	187	254	130	95	116	145	97	98
SC_RS25635	NC_003888.3	5119360	5120483	+	1124	44	54	35	20	28	23	97	34	68
SC_RS25640	NC_003888.3	5120514	5120981	+	468	13	18	27	6	8	5	46	20	24
SC_RS25645	NC_003888.3	5121109	5122923	+	1815	98	99	93	125	90	107	224	151	209
SC_RS25650	NC_003888.3	5122899	5123855	+	957	4	7	13	1	0	1	2	3	4
SC_RS25655	NC_003888.3	5123855	5126638	+	2784	195	164	254	76	85	105	333	138	284
SC_RS25660	NC_003888.3	5126659	5127108	+	450	61	44	99	29	32	25	61	40	60
SC_RS25665	NC_003888.3	5127609	5127917	+	309	23185	20922	27733	4627	5475	5728	4895	5142	4214
SC_RS25670	NC_003888.3	5127934	5128578	+	645	29069	26906	35028	4958	5576	6344	5634	6182	4071
SC_RS25675	NC_003888.3	5128587	5129246	+	660	23039	21401	27300	3620	4169	5278	4342	4893	3109
SC_RS25680	NC_003888.3	5129246	5129665	+	420	20802	19109	25444	3839	4043	5437	4222	5006	3374
SC_RS25685	NC_003888.3	5129706	5130542	+	837	37344	36068	46053	6084	6610	8238	6927	7861	5496
SC_RS25690	NC_003888.3	5130555	5130836	+	282	10123	9684	12613	1644	1603	2061	2116	2320	1485
SC_RS25695	NC_003888.3	5130879	5131226	+	348	22034	21829	26780	2967	2997	4077	3830	4172	2978
SC_RS25700	NC_003888.3	5131226	5132059	+	834	49287	47727	58460	6156	6145	7806	7333	8492	6135
SC_RS25705	NC_003888.3	5132065	5132484	+	420	15169	15257	18809	2081	2035	2913	2770	3145	2262
SC_RS25710	NC_003888.3	5132484	5132708	+	225	11098	10656	13794	1668	1551	2037	2172	2248	1792
SC_RS25715	NC_003888.3	5132708	5132995	+	288	21892	21423	27372	3438	3346	5134	4254	5749	4300
SC_RS25720	NC_003888.3	5133103	5133471	+	369	18195	17288	22465	2764	2520	3361	2841	3361	2661
SC_RS25725	NC_003888.3	5133474	5133797	+	324	8177	8069	10359	1302	1271	1429	1500	1628	1413
SC_RS25730	NC_003888.3	5133797	5134354	+	558	22166	21026	27114	3310	3042	4092	3951	4616	3476
SC_RS25735	NC_003888.3	5134360	5134545	+	186	9365	9123	11688	1608	1353	1754	1857	2121	1694
SC_RS25740	NC_003888.3	5134757	5135155	+	399	19712	18819	24020	3930	3788	4523	3520	3934	2756
SC_RS25745	NC_003888.3	5135180	5135719	+	540	32836	30132	38292	5759	5252	5947	4821	5852	3926
SC_RS25750	NC_003888.3	5135723	5136106	+	384	23161	22296	29128	4282	3877	4577	3952	4523	3341
SC_RS25755	NC_003888.3	5136150	5136755	+	606	42335	40864	51550	8056	7145	8713	7274	8070	6314
SC_RS25760	NC_003888.3	5136758	5136940	+	183	5487	5274	6852	953	1033	1224	991	1112	732
SC_RS25765	NC_003888.3	5136943	5137398	+	456	32036	31167	40171	7309	7303	8526	7129	9266	6794
SC_RS25770	NC_003888.3	5137655	5138968	+	1314	4535	4411	5711	1970	1838	2232	1312	1216	970
SC_RS25775	NC_003888.3	5138968	5139621	+	654	4171	4009	5133	1355	1301	1511	1002	1084	762
SC_RS25780	NC_003888.3	5139773	5140609	+	837	518	432	562	148	118	126	119	84	127
SC_RS25785	NC_003888.3	5140751	5140972	+	222	15585	15122	19162	3386	3623	3971	4202	4295	3416
SC_RS25790	NC_003888.3	5141041	5141154	+	114	5683	5606	6884	1234	1365	1576	1453	1615	1146
SC_RS25795	NC_003888.3	5141343	5141723	+	381	20022	20052	24705	2853	3036	4232	4443	4275	3099
SC_RS25800	NC_003888.3	5141791	5142195	+	405	21389	21385	27566	3286	3733	4611	4706	5145	3418
SC_RS25805	NC_003888.3	5142327	5143349	+	1023	28658	28115	35153	6402	6399	7476	6527	6954	5160
SC_RS25810	NC_003888.3	5143544	5144050	+	507	25737	24652	31769	4908	4819	5198	5607	6339	4806
SC_RS25815	NC_003888.3	5144190	5145044	+	855	588	575	658	161	110	151	162	112	164
SC_RS25820	NC_003888.3	5145064	5145963	-	900	778	730	974	594	588	629	340	253	255
SC_RS25825	NC_003888.3	5146038	5147243	+	1206	32	35	46	5	16	6	102	34	89
SC_RS25830	NC_003888.3	5147451	5147894	+	444	13260	11801	16063	1620	2347	2636	1825	1673	1256
SC_RS25835	NC_003888.3	5147937	5148449	+	513	11315	10381	13599	2140	2573	2802	2250	2127	1507
SC_RS25840	NC_003888.3	5148674	5150032	+	1359	2170	2090	2595	348	369	401	435	351	370
SC_RS25845	NC_003888.3	5150160	5151107	-	948	309	242	344	70	82	63	139	60	97
SC_RS25850	NC_003888.3	5151168	5152157	-	990	60	63	81	126	101	124	114	53	85
SC_RS25855	NC_003888.3	5152417	5153223	+	807	404	342	552	61	59	80	85	40	84
SC_RS25860	NC_003888.3	5153334	5155181	+	1848	239	204	283	107	87	82	214	90	164
SC_RS25865	NC_003888.3	5155213	5155785	-	573	71	101	98	66	65	68	57	46	52
SC_RS25870	NC_003888.3	5155831	5157288	-	1458	112	110	120	51	68	59	150	110	180
SC_RS25875	NC_003888.3	5157368	5157973	+	606	31	28	43	28	15	16	73	19	55
SC_RS25880	NC_003888.3	5158001	5158372	-	372	110	114	153	49	45	49	91	42	68
SC_RS25885	NC_003888.3	5158508	5159683	+	1176	1131	1064	1373	227	233	258	336	257	255
SC_RS25890	NC_003888.3	5159844	5161100	+	1257	303	318	383	92	74	96	127	77	99
SC_RS25895	NC_003888.3	5161069	5161617	+	549	321	262	334	128	97	136	110	118	100
SC_RS25900	NC_003888.3	5161764	5162000	+	237	104	101	132	192	185	195	206	205	184
SC_RS25905	NC_003888.3	5162036	5162590	-	555	33	21	29	52	51	45	91	51	82
SC_RS25910	NC_003888.3	5162784	5163437	+	654	473	492	616	323	273	307	247	173	170
SC_RS25915	NC_003888.3	5163434	5163967	+	534	213	181	258	162	148	196	118	113	96
SC_RS25920	NC_003888.3	5163960	5165084	+	1125	607	640	808	323	309	397	325	261	237
SC_RS25925	NC_003888.3	5165081	5165353	+	273	137	154	143	54	48	54	44	34	41
SC_RS25930	NC_003888.3	5165438	5166505	+	1068	153	144	218	48	49	65	92	43	74
SC_RS25935	NC_003888.3	5166649	5167686	+	1038	69	57	64	13	19	15	90	15	58
SC_RS25940	NC_003888.3	5167797	5168153	+	357	15	11	14	6	6	2	17	5	29
SC_RS25945	NC_003888.3	5168216	5169475	+	1260	33	34	44	39	22	36	88	41	76
SC_RS25950	NC_003888.3	5169472	5170644	-	1173	144	142	162	54	36	45	118	56	98
SC_RS25955	NC_003888.3	5170735	5171655	+	921	14	10	12	0	2	4	73	13	40
SC_RS25960	NC_003888.3	5171652	5172401	+	750	8	6	9	3	3	2	43	18	48
SC_RS25965	NC_003888.3	5172737	5173045	+	309	25314	22709	32670	25181	18838	15800	10205	11572	8252
SC_RS25970	NC_003888.3	5173179	5174804	+	1626	30680	28344	37802	29098	24810	24977	11091	13302	7614
SC_RS25975	NC_003888.3	5175044	5176285	-	1242	140	109	179	472	446	446	230	179	236
SC_RS25980	NC_003888.3	5176428	5177201	-	774	213	211	248	159	179	182	109	107	98
SC_RS25985	NC_003888.3	5177256	5177924	-	669	267	230	325	84	64	72	86	64	76
SC_RS25990	NC_003888.3	5178021	5178941	+	921	217	197	254	105	120	152	144	89	126
SC_RS25995	NC_003888.3	5179007	5179345	-	339	13	11	10	23	14	14	54	42	46
SC_RS26000	NC_003888.3	5179727	5180338	+	612	84	69	97	3546	4143	4108	4210	4564	3358
SC_RS26005	NC_003888.3	5180620	5181207	+	588	311	257	382	680	795	866	886	937	672
SC_RS26010	NC_003888.3	5181347	5182852	+	1506	3937	3833	4924	2790	2699	3373	1648	1632	1159
SC_RS26015	NC_003888.3	5182993	5184117	+	1125	2896	3198	3835	821	841	944	803	706	621
SC_RS26020	NC_003888.3	5184449	5185669	+	1221	35	23	27	1834	1471	1847	1244	1171	1106
SC_RS26025	NC_003888.3	5185771	5186988	-	1218	14	14	28	32	27	36	126	32	106
SC_RS26030	NC_003888.3	5187291	5188997	+	1707	60	57	82	471	412	423	337	209	256
SC_RS26035	NC_003888.3	5189098	5191251	+	2154	3517	3528	4377	1174	979	1171	1111	1109	902
SC_RS26040	NC_003888.3	5191425	5194364	+	2940	1032	989	1216	1425	1175	1606	1670	1671	1594
SC_RS26045	NC_003888.3	5194510	5196300	+	1791	1308	1315	1653	384	303	414	582	548	511
SC_RS26050	NC_003888.3	5196394	5197536	+	1143	262	241	326	270	217	344	200	145	178
SC_RS26055	NC_003888.3	5197629	5199356	+	1728	1093	962	1226	228	192	237	661	798	757
SC_RS26060	NC_003888.3	5199496	5201109	+	1614	94	91	131	17	13	28	116	69	96
