accession	binomial	full_name	tax_id	strain	level	refseq_cat	n50	total_len	gc	n_assemblies
GCF_039536665.1	Streptomyces lannensis	Streptomyces lannensis	766498	JCM 16578	Scaffold	reference genome	229886	10360522	70	1
GCF_005280215.1	Streptomyces lasalocidi	Streptomyces lasalocidi	324833	X-537	Scaffold	reference genome	2759185	8503469	72.5	1
GCF_014646335.1	Streptomyces lasiicapitis	Streptomyces lasiicapitis	1923961	CGMCC 4.7349	Scaffold	reference genome	294855	9746447	71.5	4
GCF_014649715.1	Streptomyces lateritius	Streptomyces lateritius	67313	JCM 4389	Scaffold	reference genome	88456	7707773	71.5	3
GCF_040635425.1	Streptomyces laurentii	Streptomyces laurentii	39478	NPDC006966	Scaffold	reference genome	90330	7952019	72.5	4
GCF_014649735.1	Streptomyces lavendofoliae	Streptomyces lavendofoliae	67314	JCM 4391	Scaffold	reference genome	351890	7170078	72.5	3
GCF_002803845.1	Streptomyces lavendulae	Streptomyces lavendulae subsp. lavendulae	58340	CCM 3239	Complete Genome	reference genome	8691711	8932792	72.5	31
GCF_000718625.1	Streptomyces lavenduligriseus	Streptomyces lavenduligriseus	67315	NRRL ISP-5487	Contig	reference genome	193158	8716851	72.5	2
GCF_049538775.1	Streptomyces lavendulocolor	Streptomyces lavendulocolor	67316	NPDC012858	Scaffold	reference genome	494830	7283114	73	15
GCF_001013905.1	Streptomyces leeuwenhoekii	Streptomyces leeuwenhoekii	1437453	type strain (C34 = DSM 42122 = NRRL B-24963)	Complete Genome	reference genome	7903895	8122491	72.5	6
GCF_039533405.1	Streptomyces levis	Streptomyces levis	285566	JCM 6924	Scaffold	reference genome	186140	8737213	72	2
GCF_011694815.1	Streptomyces liangshanensis	Streptomyces liangshanensis	2717324	QMT-12	Complete Genome	reference genome	7716784	7716784	72	2
GCF_023218175.1	Streptomyces lichenis	Streptomyces lichenis	2306967	LCR6-01	Contig	reference genome	200115	7121629	73.5	1
GCF_027947595.1	Streptomyces lienomycini	Streptomyces lienomycini	284035	DSM 41475	Complete Genome	reference genome	7863969	7863969	72.5	4
GCF_016598615.1	Streptomyces liliifuscus	Streptomyces liliifuscus	2797636	ZYC-3	Complete Genome	reference genome	11027222	11347200	70	1
GCF_018070025.1	Streptomyces liliiviolaceus	Streptomyces liliiviolaceus	2823109	BH-SS-21	Scaffold	reference genome	8435489	11133145	71	1
GCF_001685355.1	Streptomyces lincolnensis	Streptomyces lincolnensis	1915	NRRL 2936	Complete Genome	reference genome	10319054	10319054	71	8
GCF_031845365.1	Streptomyces litchfieldiae	Streptomyces litchfieldiae	3075543	DSM 44938	Contig	reference genome	288245	7656296	72.5	1
GCF_014649755.1	Streptomyces litmocidini	Streptomyces litmocidini	67318	JCM 4394	Scaffold	reference genome	355331	7974192	72.5	4
GCF_000739105.1	Streptomyces lividans	Streptomyces lividans TK24	457428	TK24	Complete Genome		8345283	8345283	72	3
GCF_014651035.1	Streptomyces lomondensis	Streptomyces lomondensis	68229	JCM 4866	Scaffold	reference genome	573440	8783439	71.5	2
GCF_012033735.1	Streptomyces lonarensis	Streptomyces lonarensis	700599	NCL716	Scaffold	reference genome	20580	5954074	74	2
GCF_031845865.1	Streptomyces lonegramiae	Streptomyces lonegramiae	3075524	DSM 41529	Contig	reference genome	299431	11945801	71	1
GCF_020616555.1	Streptomyces longhuiensis	Streptomyces longhuiensis	2880933	BH-MK-02	Complete Genome	reference genome	9816795	10018810	70.5	1
GCF_014649775.1	Streptomyces longisporoflavus	Streptomyces longisporoflavus	28044	JCM 4396	Scaffold	reference genome	346887	9802249	70.5	3
GCF_014656095.1	Streptomyces longispororuber	Streptomyces longispororuber	68230	JCM 4784	Scaffold	reference genome	43983	9078602	73.5	4
GCF_039532765.1	Streptomyces longisporus	Streptomyces longisporus	1948	JCM 4395	Scaffold	reference genome	377110	9852412	70.5	1
GCF_001514125.1	Streptomyces longwoodensis	Streptomyces longwoodensis	68231	DSM 41677	Scaffold	reference genome	271394	8363623	73	34
GCF_014650035.1	Streptomyces lucensis	Streptomyces lucensis JCM 4490	1306176	JCM 4490	Scaffold	reference genome	406335	7745149	72	1
GCF_003054555.1	Streptomyces lunaelactis	Streptomyces lunaelactis	1535768	MM109	Complete Genome	reference genome	8396100	8570191	70	18
GCF_039532155.1	Streptomyces lunalinharesii	Streptomyces lunalinharesii	333384	JCM 16374	Scaffold	reference genome	202559	9458008	72.5	1
GCF_031679605.1	Streptomyces luomodiensis	Streptomyces luomodiensis	3026192	SCA4-21	Complete Genome	reference genome	10044493	10044493	71.5	1
GCF_001418625.1	Streptomyces luridiscabiei	Streptomyces luridiscabiei	164114	NRRL B-24455	Scaffold		18006	7921781	71.5	1
GCF_001700515.1	Streptomyces lushanensis	Streptomyces lushanensis	1434255	NRRL B-24994	Scaffold	reference genome	21630	7542112	70.5	1
GCF_042647945.1	Streptomyces lusitanus	Streptomyces lusitanus	68232	JCM 4785	Scaffold	reference genome	298733	7528814	72.5	4
GCF_041519305.1	Streptomyces luteireticuli	Streptomyces luteireticuli	173858	ASG80	Complete Genome	reference genome	7906413	8724805	72	2
GCF_001748305.1	Streptomyces luteocolor	Streptomyces luteocolor	285500	NBRC 13826	Scaffold	reference genome	26979	9298666	72	1
GCF_014205055.1	Streptomyces luteogriseus	Streptomyces luteogriseus	68233	DSM 40483	Contig	reference genome	8695284	8709298	71.5	25
GCF_008806595.1	Streptomyces luteolifulvus	Streptomyces luteolifulvus	2615112	HIT-DPA4	Scaffold	reference genome	191571	9033607	70.5	1
GCF_029968015.1	Streptomyces luteolus	Streptomyces luteolus	3043615	B-S-A12	Contig	reference genome	164732	8455603	71	1
GCF_039532865.1	Streptomyces luteosporeus	Streptomyces luteosporeus	173856	JCM 4542	Scaffold	reference genome	308275	6904241	72.5	1
GCF_003970715.1	Streptomyces luteoverticillatus	Streptomyces luteoverticillatus	66425	CGMCC 15060	Complete Genome		7367863	7367863	72	1
GCF_042674645.1	Streptomyces lutosisoli	Streptomyces lutosisoli	2665721	CGMCC 4.7198	Contig	reference genome	8638688	11256944	70	2
GCF_009735685.1	Streptomyces lycii	Streptomyces lycii	2654337	TRM 66187	Scaffold	reference genome	31286	7654960	73	1
GCF_025568765.1	Streptomyces lycopersici	Streptomyces lycopersici	2974589	NEAU-383	Scaffold	reference genome	122897	12206521	71	2
GCF_000829715.2	Streptomyces lydicamycinicus	Streptomyces lydicamycinicus	1546107	TP-A0598	Scaffold	reference genome	724454	8319549	71	7
GCF_001984445.1	Streptomyces lydicus	Streptomyces lydicus	47763	GS93	Complete Genome	reference genome	8243179	8243179	72	51
GCF_023887685.1	Streptomyces macrolidinus	Streptomyces macrolidinus	2952607	RY43-2	Contig	reference genome	163816	6782311	71	1
GCF_039533145.1	Streptomyces macrosporus	Streptomyces macrosporus	44032	JCM 6305	Scaffold	reference genome	95637	6765403	73	1
GCF_000980885.2	Streptomyces malaysiense	Streptomyces malaysiense	1428626	MUSC 136	Contig	reference genome	123175	7963326	72	1
GCF_040653035.1	Streptomyces malaysiensis	Streptomyces malaysiensis subsp. malaysiensis	3455775	NPDC048052	Scaffold	reference genome	243479	11316202	71	27
GCF_042654005.1	Streptomyces mangrovi	Streptomyces mangrovi	1206892	CGMCC 4.7117	Scaffold	reference genome	225002	12153740	70.5	2
GCF_000974985.2	Streptomyces mangrovisoli	Streptomyces mangrovisoli	1428628	MUSC 149	Contig	reference genome	108867	9165825	72.5	1
GCF_049570255.1	Streptomyces manipurensis	Streptomyces manipurensis	1077945	JCM 17351	Complete Genome	reference genome	7724028	7877415	73	1
GCF_042654885.1	Streptomyces maoxianensis	Streptomyces maoxianensis	1459942	CGMCC 4.7139	Scaffold	reference genome	374909	7811016	69.5	1
GCF_001184025.1	Streptomyces maremycinicus	Streptomyces maremycinicus	1679753	NBRC 110468	Scaffold	reference genome	559681	8723085	71.5	1
GCF_005795905.1	Streptomyces marianii	Streptomyces marianii	1817406	ICN19	Contig	reference genome	8395906	9010366	71.5	1
GCF_020410765.1	Streptomyces marincola	Streptomyces marincola	2878388	SCSIO 64649	Complete Genome	reference genome	6629020	6629020	73.5	2
GCF_026262575.1	Streptomyces marinisediminis	Streptomyces marinisediminis	2984864	JHD1	Contig	reference genome	170825	5646503	74.5	1
GCF_022524345.1	Streptomyces marispadix	Streptomyces marispadix	2922868	M600PL45_2	Contig	reference genome	6677320	6695159	70.5	1
GCF_039539045.1	Streptomyces marokkonensis	Streptomyces marokkonensis	324855	JCM 17027	Scaffold	reference genome	35274	8186717	71.5	3
GCF_014654785.1	Streptomyces mashuensis	Streptomyces mashuensis	33904	JCM 4059	Contig	reference genome	413356	7237780	73	1
GCF_014648995.1	Streptomyces massasporeus	Streptomyces massasporeus	67324	JCM 4139	Scaffold	reference genome	311383	9073213	71.5	37
GCF_039532965.1	Streptomyces mauvecolor	Streptomyces mauvecolor	58345	JCM 5002	Contig	reference genome	324238	8432814	71	3
GCF_018982965.1	Streptomyces mayonensis	Streptomyces mayonensis	2750816	A1-08	Contig	reference genome	57920	8654812	72	1
GCF_054783955.1	Streptomyces mayteni	Streptomyces mayteni	481003	JCM 16957	Scaffold	reference genome	58099	8652361	72.5	1
GCF_000721685.1	Streptomyces mediolani	Streptomyces mediolani	68237	NRRL WC-3934	Contig		339529	8120903	71.5	1
GCF_000718985.1	Streptomyces megasporus	Streptomyces megasporus	44060	NRRL B-16372	Contig	reference genome	155964	5850061	72.5	1
GCF_014649795.1	Streptomyces melanogenes	Streptomyces melanogenes	67326	JCM 4398	Scaffold	reference genome	341028	9581670	71.5	4
GCF_900105695.1	Streptomyces melanosporofaciens	Streptomyces melanosporofaciens	67327	DSM 40318	Contig	reference genome	10257104	10769732	71	1
GCF_023703325.1	Streptomyces meridianus	Streptomyces meridianus	2938945	MTZ3.1	Scaffold	reference genome	127529	5644485	71.5	1
GCF_011044995.1	Streptomyces mesophilus	Streptomyces mesophilus	1775132	YC504	Scaffold	reference genome	31168	8988266	70.5	2
GCF_014252945.1	Streptomyces mexicanus	Streptomyces mexicanus	178566	Marseille-Q0842	Contig	reference genome	475868	8011832	72.5	6
GCF_013364315.1	Streptomyces microflavus	Streptomyces microflavus	1919	NA06532	Complete Genome	reference genome	7790974	8452583	71.5	116
GCF_025908395.1	Streptomyces milbemycinicus	Streptomyces milbemycinicus	476552	SIPI-054	Complete Genome	reference genome	12063392	12063392	70.5	5
GCF_031845425.1	Streptomyces millisiae	Streptomyces millisiae	3075542	DSM 44918	Contig	reference genome	98825	8030443	73	1
GCF_006334995.2	Streptomyces mimosae	Streptomyces mimosae	2586635	3MP-10	Contig	reference genome	294128	7198341	73.5	1
GCF_014650875.1	Streptomyces minutiscleroticus	Streptomyces minutiscleroticus	68238	JCM 4790	Scaffold	reference genome	140288	9510939	73	2
GCF_036073155.1	Streptomyces mirabilis	Streptomyces mirabilis	68239	NBC_00379	Complete Genome	reference genome	11832677	11832677	70	109
GCF_900104815.1	Streptomyces misionensis	Streptomyces misionensis	67331	DSM 40306	Contig	reference genome	8162950	8473721	72.5	23
GCF_053555975.1	Streptomyces mitragynae	Streptomyces mitragynae	3466738	NRAIS3	Contig	reference genome	177418	10079264	71	2
GCF_020099395.1	Streptomyces mobaraensis	Streptomyces mobaraensis	35621	DSM 40587	Complete Genome	reference genome	7638929	7668063	73	7
GCF_001866665.1	Streptomyces monashensis	Streptomyces monashensis	1678012	MUSC 1	Contig	reference genome	159229	10254857	71.5	2
GCF_000715845.1	Streptomyces monomycini	Streptomyces monomycini	371720	NRRL B-24309	Scaffold	reference genome	37182	9111622	72	2
GCF_017813245.1	Streptomyces montanisoli	Streptomyces montanisoli	2798581	MMS17-BM035	Contig	reference genome	35783	7239900	72	1
GCF_005786655.1	Streptomyces montanus	Streptomyces montanus	2580423	NEAU-C151	Scaffold	reference genome	100551	10225480	70	1
GCF_042665355.1	Streptomyces monticola	Streptomyces monticola	2666263	CGMCC 4.7467	Scaffold	reference genome	307004	9594469	70.5	1
GCF_031845725.1	Streptomyces mooreae	Streptomyces mooreae	3075523	DSM 41527	Contig	reference genome	125653	8444202	71	1
GCF_039521245.1	Streptomyces mordarskii	Streptomyces mordarskii	1226758	JCM 5052	Scaffold	reference genome	319569	10434081	71	2
GCF_014656115.1	Streptomyces morookaense	Streptomyces morookaense	1970	JCM 4793	Scaffold	reference genome	265062	7418596	72	3
GCF_021474425.1	Streptomyces muensis	Streptomyces muensis	1077944	DSM 103493	Contig	reference genome	31546	9891217	70.5	1
GCF_025231465.1	Streptomyces murinus	Streptomyces murinus	33900	CR-43	Complete Genome	reference genome	8349858	8349858	72	27
GCF_016741855.1	Streptomyces musisoli	Streptomyces musisoli	2802280	CH5-8	Contig	reference genome	398829	9364856	72	1
GCF_046628145.1	Streptomyces mutabilis	Streptomyces mutabilis	67332	MPB24	Complete Genome	reference genome	8019266	8157816	72	23
GCF_042657935.1	Streptomyces mutomycini	Streptomyces mutomycini	284036	CGMCC 4.1747	Scaffold	reference genome	423818	7214530	70.5	3
GCF_014650575.1	Streptomyces naganishii	Streptomyces naganishii JCM 4654	1306179	JCM 4654	Contig	reference genome	346038	7809671	72.5	2
GCF_046614825.1	Streptomyces nanhaiensis	Streptomyces nanhaiensis	679319	KCTC19401	Contig	reference genome	31798	6634966	73.5	1
GCF_001751255.1	Streptomyces nanshensis	Streptomyces nanshensis	518642	SCSIO 10429	Scaffold	reference genome	17296	7724355	71.5	2
GCF_020400595.2	Streptomyces naphthomycinicus	Streptomyces naphthomycinicus	2872625	TML10	Scaffold	reference genome	944316	10153862	72.5	1
GCF_014649015.1	Streptomyces narbonensis	Streptomyces narbonensis	67333	JCM 4147	Scaffold	reference genome	388913	7730059	71.5	8
GCF_000935125.1	Streptomyces natalensis	Streptomyces natalensis ATCC 27448	1240678	ATCC 27448	Contig	reference genome	375892	8651730	70.5	1
GCF_037414505.1	Streptomyces netropsis	Streptomyces netropsis	55404	M-141	Complete Genome	reference genome	8144008	8144008	71.5	5
GCF_028863365.1	Streptomyces neyagawaensis	Streptomyces neyagawaensis	42238	JCM 4796	Contig	reference genome	339391	9979945	71.5	5
GCF_050106155.1	Streptomyces nidicola	Streptomyces nidicola	3410409	BH106	Contig	reference genome	9434339	9455321	71	1
GCF_000718305.1	Streptomyces niger	Streptomyces niger	66373	NRRL B-3857	Contig	reference genome	381655	8485418	71.5	1
GCF_003074055.1	Streptomyces nigra	Streptomyces nigra	1827580	452	Complete Genome	reference genome	7641029	7641029	72	41
GCF_027626975.1	Streptomyces nigrescens	Streptomyces nigrescens	1920	DSM 40276	Complete Genome	reference genome	9513687	9534571	71	24
GCF_018883605.1	Streptomyces niphimycinicus	Streptomyces niphimycinicus	2842201	4503	Scaffold	reference genome	17460	10915148	71	1
GCF_008704555.1	Streptomyces nitrosporeus	Streptomyces nitrosporeus	28894	ATCC 12769	Complete Genome	reference genome	7581562	7581562	72	5
GCF_033794345.1	Streptomyces niveiscabiei	Streptomyces niveiscabiei	164115	MD20-5-1	Scaffold	reference genome	189010	9888126	71.5	5
GCF_036227585.1	Streptomyces niveus	Streptomyces niveus	193462	NBC_01447	Complete Genome	reference genome	8500400	8548654	70.5	66
GCF_042434995.1	Streptomyces noboritoensis	Streptomyces noboritoensis	67337	JCM 4557	Contig	reference genome	7532186	9366242	71	1
GCF_008704995.1	Streptomyces nodosus	Streptomyces nodosus	40318	ATCC 14899	Complete Genome	reference genome	7772587	7772587	71	12
GCF_039532885.1	Streptomyces nogalater	Streptomyces nogalater	38314	JCM 4799	Scaffold	reference genome	179688	8448139	72.5	2
GCF_017639205.1	Streptomyces nojiriensis	Streptomyces nojiriensis	66374	JCM 3382	Complete Genome	reference genome	9022916	9022916	72	10
GCF_040678695.1	Streptomyces nondiastaticus	Streptomyces nondiastaticus	3154512	NPDC052563	Scaffold	reference genome	253642	8119840	72.5	4
GCF_016917755.1	Streptomyces noursei	Streptomyces noursei	1971	A-2-1	Complete Genome	reference genome	9857535	9857535	71.5	38
GCF_000716875.1	Streptomyces novaecaesareae	Streptomyces novaecaesareae	68244	NRRL B-1267	Contig	reference genome	73927	7427993	73	1
GCF_014203895.1	Streptomyces nymphaeiformis	Streptomyces nymphaeiformis	2663842	SFB5A	Scaffold	reference genome	575570	9225538	72	1
GCF_001751245.1	Streptomyces oceani	Streptomyces oceani	1075402	SCSIO 02100	Scaffold	reference genome	63348	6311054	70.5	1
GCF_000720485.1	Streptomyces ochraceiscleroticus	Streptomyces ochraceiscleroticus	47761	NRRL ISP-5594	Contig	reference genome	211967	8408570	71.5	2
GCF_000981895.1	Streptomyces odonnellii	Streptomyces odonnellii	1417980	NRRL B-24891	Contig	reference genome	23420	8280224	70.5	1
GCF_024435355.1	Streptomyces odontomachi	Streptomyces odontomachi	2944940	ODS25	Contig	reference genome	323159	10568035	71.5	1
GCF_013363465.1	Streptomyces odorifer	Streptomyces odorifer	53450	KAI-180	Contig		182282	6818716	73.5	1
GCF_045519255.1	Streptomyces okerensis	Streptomyces okerensis	3344655	DSM 116494	Complete Genome	reference genome	7330005	7863746	72	1
GCF_040645895.1	Streptomyces olindensis	Streptomyces olindensis	358823	NPDC046612	Scaffold	reference genome	97001	9166254	72	4
GCF_039521225.1	Streptomyces olivaceiscleroticus	Streptomyces olivaceiscleroticus	68245	JCM 4805	Contig	reference genome	243970	8793594	71.5	1
GCF_014650115.1	Streptomyces olivaceoviridis	Streptomyces olivaceoviridis	1921	JCM 4499	Scaffold	reference genome	278653	9763431	72	18
GCF_015244315.1	Streptomyces olivaceus	Streptomyces olivaceus	47716	SCSIO T05	Complete Genome	reference genome	8458055	8458055	72.5	104
GCF_001514115.1	Streptomyces olivochromogenes	Streptomyces olivochromogenes	1963	DSM 40451	Scaffold	reference genome	283179	11669312	70	5
GCF_030490905.1	Streptomyces olivoreticuli	Streptomyces olivoreticuli	68246	ZZ-21	Complete Genome		8245823	8307379	71	1
GCF_014203555.1	Streptomyces olivoverticillatus	Streptomyces olivoverticillatus	66427	CECT 3266	Scaffold	reference genome	482324	5549028	71.5	1
GCF_014650895.1	Streptomyces omiyaensis	Streptomyces omiyaensis	68247	JCM 4806	Scaffold	reference genome	236711	8566167	74	4
GCF_003121295.1	Streptomyces orinoci	Streptomyces orinoci	67339	NRRL B-3379	Contig	reference genome	434919	7502208	71	2
GCF_026341275.1	Streptomyces ortus	Streptomyces ortus	2867268	A15ISP2-DRY2	Scaffold	reference genome	5227178	9292701	71	1
GCF_017676365.1	Streptomyces oryzae	Streptomyces oryzae	1434886	S16-07	Contig	reference genome	31324	7708393	71	1
GCF_039538545.1	Streptomyces osmaniensis	Streptomyces osmaniensis	593134	JCM 17656	Contig	reference genome	494475	10354507	70.5	1
GCF_040612295.1	Streptomyces ossamyceticus	Streptomyces ossamyceticus	249581	NPDC006434	Scaffold	reference genome	116374	10053797	71.5	5
GCF_004305975.1	Streptomyces otsuchiensis	Streptomyces otsuchiensis	2681388	OTB305	Scaffold	reference genome	18258	6150387	73	1
GCF_042653885.1	Streptomyces ovatisporus	Streptomyces ovatisporus	1128682	CGMCC 4.7357	Scaffold	reference genome	378583	6473803	71	1
GCF_011766325.1	Streptomyces pacificus	Streptomyces pacificus	2705029	CWH03	Contig	reference genome	264498	6714233	72.5	1
GCF_016031615.1	Streptomyces pactum	Streptomyces pactum	68249	ATCC 27456	Contig	reference genome	7284573	7808990	74.5	4
GCF_030077645.1	Streptomyces pakalii	Streptomyces pakalii	3036494	ENCB-J15	Contig	reference genome	442895	7670006	71.5	1
GCF_042434075.1	Streptomyces palmae	Streptomyces palmae	1701085	TBRC 1999	Scaffold	reference genome	312120	7560983	72.5	2
GCF_003344965.1	Streptomyces paludis	Streptomyces paludis	2282738	GSSD-12	Complete Genome	reference genome	8454852	8454852	71	1
GCF_040560175.1	Streptomyces panacea	Streptomyces panacea	3035064	PSRA5	Contig	reference genome	33764	7874420	70.5	1
GCF_023516615.1	Streptomyces panaciradicis	Streptomyces panaciradicis	1470261	NBRC 109811	Contig	reference genome	71020	9519748	71.5	1
GCF_014202475.1	Streptomyces paradoxus	Streptomyces paradoxus	66375	DSM 43350	Scaffold	reference genome	433418	8584772	71.5	6
GCF_003865155.1	Streptomyces paromomycinus	Streptomyces paromomycinus	92743	NBRC 15454	Contig	reference genome	9705398	9705398	72	2
GCF_001660045.1	Streptomyces parvulus	Streptomyces parvulus	146923	2297	Complete Genome	reference genome	7149446	7766531	72.5	40
GCF_014648875.1	Streptomyces parvus	Streptomyces parvus	66428	JCM 4069	Scaffold	reference genome	463028	8032801	71.5	40
GCF_040650805.1	Streptomyces pathocidini	Streptomyces pathocidini	1650571	NPDC048614	Scaffold	reference genome	56129	5936619	71.5	3
GCF_000725565.1	Streptomyces peucetius	Streptomyces peucetius	1950	NRRL WC-3868	Scaffold	reference genome	220172	9528656	72	2
GCF_035957715.1	Streptomyces phaeochromogenes	Streptomyces phaeochromogenes	1923	NBC_01328	Complete Genome	reference genome	11713170	11713170	70	26
GCF_014648915.1	Streptomyces phaeofaciens	Streptomyces phaeofaciens	68254	JCM 4125	Scaffold	reference genome	258264	10444272	72	4
GCF_009184865.1	Streptomyces phaeolivaceus	Streptomyces phaeolivaceus	2653200	GY16	Complete Genome	reference genome	10116136	10175440	71	1
GCF_023923245.1	Streptomyces phaeoluteigriseus	Streptomyces phaeoluteigriseus	114686	Qhu-M197	Complete Genome	reference genome	9026270	9118447	71.5	4
GCF_040302545.1	Streptomyces pharetrae	Streptomyces pharetrae	291370	NPDC126476	Scaffold	reference genome	302949	8605841	72	9
GCF_009377205.1	Streptomyces phyllanthi	Streptomyces phyllanthi	1803180	TISTR 2346	Contig	reference genome	17201	10267250	70.5	3
GCF_012273655.1	Streptomyces physcomitrii	Streptomyces physcomitrii	2724184	LD120	Scaffold	reference genome	284420	7635704	73	4
GCF_040746085.1	Streptomyces phytohabitans	Streptomyces phytohabitans	1150371	HBERC20821	Complete Genome	reference genome	6370257	6370257	73.5	1
GCF_013870535.1	Streptomyces phytophilus	Streptomyces phytophilus	722715	PIP175	Contig	reference genome	5278	6906479	72	1
GCF_014649515.1	Streptomyces pilosus	Streptomyces pilosus	28893	JCM 4372	Scaffold	reference genome	465971	7585172	72.5	8
GCF_041380215.1	Streptomyces pimonensis	Streptomyces pimonensis	2860288	TRM75549	Contig	reference genome	177928	7395064	72	1
GCF_900114215.1	Streptomyces pini	Streptomyces pini	1520580	PL19	Scaffold	reference genome	282394	6338888	73	1
GCF_020564935.1	Streptomyces pinistramenti	Streptomyces pinistramenti	2884812	SF28	Contig	reference genome	117612	7853467	71.5	1
GCF_005048155.1	Streptomyces piniterrae	Streptomyces piniterrae	2571125	jys28	Contig	reference genome	428410	8492419	70.5	1
GCF_008704855.1	Streptomyces platensis	Streptomyces platensis	58346	ATCC 23948	Complete Genome	reference genome	8501012	8501012	71	21
GCF_014650135.1	Streptomyces plicatus	Streptomyces plicatus	1922	JCM 4504	Scaffold	reference genome	512933	8368647	72	2
GCF_019857225.1	Streptomyces plumbidurans	Streptomyces plumbidurans	2814589	KC 17012	Contig	reference genome	119887	8642823	71	1
GCF_039537125.1	Streptomyces plumbiresistens	Streptomyces plumbiresistens	511811	JCM 16924	Scaffold	reference genome	249632	10336994	70.5	1
GCF_000802245.2	Streptomyces pluripotens	Streptomyces pluripotens	1355015	MUSC 135	Complete Genome	reference genome	7346075	7346075	70	2
GCF_014493765.1	Streptomyces polyasparticus	Streptomyces polyasparticus	2767826	TRM66268-LWL	Contig	reference genome	363618	10155139	70	1
GCF_039521165.1	Streptomyces polychromogenes	Streptomyces polychromogenes	67342	JCM 4505	Contig	reference genome	587653	8551204	73	1
GCF_042650325.1	Streptomyces polygonati	Streptomyces polygonati	1617087	CGMCC 4.7237	Scaffold	reference genome	227930	8469924	72	1
GCF_042663125.1	Streptomyces polyrhachis	Streptomyces polyrhachis	1282885	CGMCC 4.7094	Scaffold	reference genome	114012	5636863	72.5	1
GCF_014650915.1	Streptomyces poonensis	Streptomyces poonensis	68255	JCM 4815	Scaffold	reference genome	291977	8584687	71.5	2
GCF_002911015.1	Streptomyces populi	Streptomyces populi	2058924	A249	Scaffold	reference genome	75083	9587301	71.5	2
GCF_030719255.1	Streptomyces poriferorum	Streptomyces poriferorum	2798799	Alt1	Complete Genome	reference genome	9111196	9456810	70.5	5
GCF_036689765.1	Streptomyces poriticola	Streptomyces poriticola	3120506	C6-003	Contig	reference genome	159986	7207802	72.5	1
GCF_900101585.1	Streptomyces prasinopilosus	Streptomyces prasinopilosus	67344	CGMCC 4.3504	Scaffold	reference genome	329446	7125330	73	3
GCF_039535455.1	Streptomyces prasinosporus	Streptomyces prasinosporus	68256	JCM 4816	Contig	reference genome	283111	14987858	72.5	1
GCF_008704445.1	Streptomyces prasinus	Streptomyces prasinus	67345	ATCC 13879	Complete Genome	reference genome	7647592	7647592	72	19
GCF_042658125.1	Streptomyces pratens	Streptomyces pratens	887456	CGMCC 4.5800	Scaffold	reference genome	62090	8255400	71	2
GCF_016804005.1	Streptomyces pratensis	Streptomyces pratensis	1169025	S10	Complete Genome	reference genome	8270263	8281466	70.5	4
GCF_037860615.1	Streptomyces pratisoli	Streptomyces pratisoli	3139917	MS1.AVA.4	Contig	reference genome	8456076	8612119	71	1
GCF_014070435.1	Streptomyces pristinaespiralis	Streptomyces pristinaespiralis	38300	PR11	Complete Genome	reference genome	8112061	8112061	71.5	11
GCF_020740535.1	Streptomyces profundus	Streptomyces profundus	2867410	MA3_2.13	Complete Genome	reference genome	7653710	7653710	72	1
GCF_045162825.1	Streptomyces prunicolor	Streptomyces prunicolor	67348	NBC_01021	Complete Genome	reference genome	10948847	10948847	70	10
GCF_054783935.1	Streptomyces pseudoechinosporeus	Streptomyces pseudoechinosporeus	285444	JCM 3066	Scaffold	reference genome	93758	10676737	69.5	1
GCF_014649895.1	Streptomyces pseudogriseolus	Streptomyces pseudogriseolus	36817	JCM 4416	Scaffold	reference genome	124838	7308697	72.5	62
GCF_036345035.1	Streptomyces pseudovenezuelae	Streptomyces pseudovenezuelae	67350	NBC_00598	Complete Genome	reference genome	10077198	10170903	71	16
GCF_039533575.1	Streptomyces pulveraceus	Streptomyces pulveraceus	68258	JCM 7545	Scaffold	reference genome	163340	8838038	71.5	2
GCF_006715785.1	Streptomyces puniciscabiei	Streptomyces puniciscabiei	164348	DSM 41929	Contig	reference genome	6617564	9146138	71.5	6
GCF_000718615.1	Streptomyces purpeochromogenes	Streptomyces purpeochromogenes	1464077	NRRL ISP-5373	Contig		213680	7996821	72.5	2
GCF_045040895.1	Streptomyces purpurascens	Streptomyces purpurascens	1924	NBC_00017	Complete Genome	reference genome	9188115	9188115	71	6
GCF_000384175.1	Streptomyces purpureus	Streptomyces purpureus KA281	1054860	KA281	Scaffold	reference genome	573188	7458334	71.5	5
GCF_020024005.1	Streptomyces purpurogeneiscleroticus	Streptomyces purpurogeneiscleroticus	68259	DSM 43156	Scaffold	reference genome	23534	7743394	71.5	1
GCF_000717725.1	Streptomyces pyridomyceticus	Streptomyces pyridomyceticus	68260	NRRL ISP-5024	Contig		107132	6312990	73	1
GCF_024756275.1	Streptomyces pyxinae	Streptomyces pyxinae	2970734	LP05-1	Contig	reference genome	229487	7382192	74	1
GCF_024753135.1	Streptomyces pyxinicus	Streptomyces pyxinicus	2970331	LP11	Contig	reference genome	211281	8032703	72.5	1
GCF_001611795.1	Streptomyces qaidamensis	Streptomyces qaidamensis	1783515	S10	Complete Genome	reference genome	9083372	9083372	71.5	3
GCF_900111245.1	Streptomyces qinglanensis	Streptomyces qinglanensis	943816	CGMCC 4.6825	Scaffold	reference genome	373215	7175483	72.5	5
GCF_007856155.1	Streptomyces qinzhouensis	Streptomyces qinzhouensis	2599401	SSL-25	Complete Genome	reference genome	8146484	8146484	71.5	1
