locus_tag	old_locus_tag	gene_name	product	tf_family	region	nearest_methyl_distance	n_methyl_sites_2kb	baseMean	LFC_T2vsT1	LFC_T3vsT1	n_FIMO_hits	classification
SC_RS20630	SCO3699		ArsR/SmtB family transcription factor	ArsR	0	244	6	13.258	0.391	0.841	4	shielded
SC_RS20680	SCO3709		SigE family RNA polymerase sigma factor	Sigma factor	0	1917	1	50.506	-1.319	-0.174	4	shielded
SC_RS20710			sigma-70 family RNA polymerase sigma factor	Sigma factor	0	1998	1	335.939	-0.646	-1.019	7	shielded
SC_RS20740	SCO3722		ArsR/SmtB family transcription factor	ArsR	0	968	1	57.983	-0.814	-1.06	7	shielded
SC_RS20775	SCO3729		helix-turn-helix domain-containing protein	HTH (other)	0	37	1	138.572	-0.697	-1.04	6	exposed
SC_RS20810	SCO3736		RNA polymerase sigma factor	Sigma factor	0	585	3	48.396	-1.731	-1.224	3	shielded
SC_RS20830	SCO3740		sensor histidine kinase	Sensor kinase	0	534	5	91.151	-0.693	-0.395	4	shielded
SC_RS20835	SCO3741		response regulator transcription factor	Response regulator	0	371	5	80.015	-0.756	-0.518	4	shielded
SC_RS20875	SCO3750		sensor histidine kinase	Sensor kinase	0	878	5	137.294	-0.579	-0.198	2	shielded
SC_RS20905	SCO3756		response regulator	Response regulator	0	454	6	80.136	-0.954	-1.065	3	shielded
SC_RS20910	SCO3757		sensor histidine kinase	Sensor kinase	0	430	6	230.951	-1.073	-1.801	5	shielded
SC_RS20965	SCO3769		TetR/AcrR family transcriptional regulator	TetR	0	723	2	883.408	-2.256	-3.122	7	shielded
SC_RS20985	SCO3773		LysR family transcriptional regulator	LysR	0	179	2	85.007	-2.688	-0.885	3	shielded
SC_RS21030	SCO3782		helix-turn-helix domain-containing protein	HTH (other)	0	2404	0	157.097	0.192	-0.575	1	shielded
SC_RS21145	SCO3804		GlxA family transcriptional regulator	Other regulatory	0	1795	1	51.982	-1.665	-0.152	7	shielded
SC_RS21175	SCO3810		GntR family transcriptional regulator	GntR	0	1221	4	379.082	0.772	0.384	4	shielded
SC_RS21185	SCO3812		GntR family transcriptional regulator	GntR	0	17	3	42.002	-1.441	-1.324	2	shielded
SC_RS21215	SCO3818		response regulator	Response regulator	0	536	2	132.033	0.979	0.984	3	shielded
SC_RS21235	SCO3822		bacterial proteasome activator family protein	Activator	0	380	3	2237.34	-0.57	-1.385	7	shielded
SC_RS21290	SCO3832		Lrp/AsnC family transcriptional regulator	Lrp	0	1378	1	133.631	-0.078	-1.168	9	shielded
SC_RS21295	SCO3833		TetR/AcrR family transcriptional regulator	TetR	0	2555	0	188.334	1.641	0.558	2	shielded
SC_RS21350	SCO3843	fhaA	antibiotic biosynthesis regulator FhaA	Other regulatory	0	244	9	2123.187	-2.373	-2.64	3	shielded
SC_RS21355	SCO3844	fhaB	antibiotic biosynthesis regulator FhaB	Other regulatory	0	322	9	795.535	-1.949	-2.659	2	shielded
SC_RS21435	SCO3859		helix-turn-helix domain-containing protein	HTH (other)	0	809	1	304.786	-0.063	-0.911	4	shielded
SC_RS21460	SCO3864		GntR family transcriptional regulator	GntR	0	349	2	146.693	-0.654	-0.937	1	shielded
SC_RS21600	SCO3891		anti-sigma factor family protein	Sigma factor	0	133	3	134.137	-0.38	-0.53	3	shielded
SC_RS21605	SCO3892	sigM	RNA polymerase sigma factor SigM	Sigma factor	0	314	3	251.204	-0.897	-1.378	4	shielded
SC_RS21645	SCO3900		PadR family transcriptional regulator	PadR	0	2196	0	3234.682	-2.977	-3.141	8	shielded
SC_RS21680	SCO3907		single-stranded DNA-binding protein	Other regulatory	0	206	1	12967.67	-2.529	-3.327	3	exposed
SC_RS21715	SCO3914		MarR family winged helix-turn-helix transcriptional regulator	MarR	0	830	3	261.22	-0.815	-1.622	5	shielded
SC_RS21740	SCO3919		LysR family transcriptional regulator	LysR	0	87	3	89.875	-0.118	0.662	5	shielded
SC_RS21770	SCO3925		IclR family transcriptional regulator	IclR	0	892	2	171.457	-0.179	-0.413	3	shielded
SC_RS21775	SCO3926		SsgA family sporulation/cell division regulator	Other regulatory	0	1718	2	134.28	1.614	1.293	1	shielded
SC_RS21805	SCO3932		GntR family transcriptional regulator	GntR	0	878	4	167.605	-0.484	-0.276	2	shielded
SC_RS21855	SCO3943		LacI family DNA-binding transcriptional regulator	LacI	0	481	4	147.767	0.357	2.321	4	shielded
SC_RS21880	SCO3948		sensor histidine kinase	Sensor kinase	0	90	5	119.749	-1.982	-0.2	1	shielded
SC_RS22035	SCO3979		TetR/AcrR family transcriptional regulator	TetR	0	1196	3	158.242	-0.712	-1.371	1	shielded
SC_RS22050	SCO3981		GntR family transcriptional regulator	GntR	0	257	1	110.213	-1.455	-1.116	3	shielded
SC_RS22070	SCO3986		GntR family transcriptional regulator	GntR	0	858	1	86.562	-1.689	-0.65	3	shielded
SC_RS22135	SCO4005		SigE family RNA polymerase sigma factor	Sigma factor	0	52	4	473.005	0.265	3.232	4	exposed
SC_RS22150	SCO4008		TetR family transcriptional regulator	TetR	0	501	5	200.745	-2.114	-1.888	2	shielded
SC_RS22155	SCO4009		hybrid sensor histidine kinase/response regulator	Sensor kinase	0	1577	1	3167.978	-0.819	-1.745	7	shielded
SC_RS22190	SCO4014		winged helix-turn-helix transcriptional regulator	HTH (other)	0	879	1	288.296	-0.92	-2.232	2	shielded
SC_RS22205	SCO4017		metal-dependent transcriptional regulator	Other regulatory	0	2193	0	71.735	-1.59	-0.154	7	shielded
SC_RS22215	SCO4019		GntR family transcriptional regulator	GntR	0	1549	3	91.271	-1.161	-0.884	7	shielded
SC_RS22220	SCO4020		response regulator transcription factor	Response regulator	0	722	3	31.987	-1.578	-0.087	3	shielded
SC_RS22225	SCO4021		sensor histidine kinase	Sensor kinase	0	11	4	46.255	-1.292	1.525	3	shielded
SC_RS22245	SCO4025		TetR/AcrR family transcriptional regulator	TetR	0	375	3	205.725	-0.557	-1.356	5	shielded
SC_RS22280	SCO4032		MarR family winged helix-turn-helix transcriptional regulator	MarR	0	1591	1	25.281	-0.551	0.704	5	shielded
SC_RS22290	SCO4034		RNA polymerase sigma factor SigF	Sigma factor	0	1149	1	4666.849	1.455	0.924	2	shielded
SC_RS22295	SCO4035		RNA polymerase sigma factor SigF	Sigma factor	0	6	1	23.572	-0.733	2.079	2	shielded
SC_RS22420	SCO4059		ArsR/SmtB family transcription factor	ArsR	0	38	2	70.545	0.026	-0.505	6	shielded
SC_RS22490	SCO4072		response regulator transcription factor	Response regulator	0	349	4	58.71	-0.985	-0.422	1	shielded
SC_RS22495	SCO4073		sensor histidine kinase	Sensor kinase	0	507	2	238.2	-1.413	-1.006	1	shielded
SC_RS22545	SCO4081		ArsR/SmtB family transcription factor	ArsR	0	1204	1	115.299	-1.03	-1.32	1	shielded
SC_RS22590	SCO4091	bldC	developmental transcriptional regulator BldC	Other regulatory	0	428	3	6678.047	0.95	-0.143	4	shielded
SC_RS22660	SCO4099		TetR/AcrR family transcriptional regulator	TetR	0	650	2	79.537	-1.034	-0.382	3	shielded
SC_RS22675	SCO4102		MerR family transcriptional regulator	MerR	0	1805	1	46.298	0.383	1.272	8	shielded
SC_RS22750	SCO4116		BTAD domain-containing putative transcriptional regulator	Other regulatory	0	489	4	411.992	-0.616	-0.513	2	shielded
SC_RS22755	SCO4117		sigma-70 family RNA polymerase sigma factor	Sigma factor	0	1385	3	540.085	0.508	0.219	9	shielded
SC_RS22760	SCO4118		TetR/AcrR family transcriptional regulator	TetR	0	1421	1	620.419	0.514	0.627	7	shielded
SC_RS22780	SCO4122		MarR family winged helix-turn-helix transcriptional regulator	MarR	0	207	5	473.241	-3.8	-3.539	3	exposed
SC_RS22800	SCO4123		response regulator	Response regulator	0	1361	1	106.843	-1.45	-1.659	2	shielded
SC_RS22805	SCO4124		sensor histidine kinase	Sensor kinase	0	90	1	63.644	-1.725	0.317	2	shielded
SC_RS22870	SCO4136		metal-sensitive transcriptional regulator	Other regulatory	0	993	4	324.637	0.674	-0.613	3	shielded
SC_RS22920	SCO4146		RNA polymerase sigma factor	Sigma factor	0	684	2	32.659	-0.383	0.066	8	shielded
SC_RS22955	SCO4153		winged helix-turn-helix transcriptional regulator	HTH (other)	0	3189	0	141.621	-0.338	-1.226	3	shielded
SC_RS22965	SCO4155		sensor histidine kinase	Sensor kinase	0	1327	2	110.997	-0.602	-0.563	1	shielded
SC_RS22970	SCO4156		response regulator transcription factor	Response regulator	0	584	3	91.329	-0.691	-0.649	3	shielded
SC_RS22980	SCO4158		LacI family DNA-binding transcriptional regulator	LacI	0	172	4	1108.008	-0.026	-1.387	9	exposed
SC_RS22985	SCO4159	glnR	two-component system response regulator GlnR	Response regulator	0	674	4	1057.795	-1.611	-2.406	8	shielded
SC_RS23025	SCO4167		TetR family transcriptional regulator	TetR	0	293	2	115.329	-0.889	-1.669	9	shielded
SC_RS23070	SCO4176		helix-turn-helix domain-containing protein	HTH (other)	0	69	4	128.207	0.728	1.639	3	shielded
SC_RS23085	SCO4180		Fur family transcriptional regulator	Other regulatory	0	1946	2	876.097	-1.145	-2.239	2	shielded
SC_RS23125	SCO4188		FadR/GntR family transcriptional regulator	GntR	0	3383	0	170.325	-1.339	-0.738	4	shielded
SC_RS23135	SCO4190		winged helix-turn-helix domain-containing protein	HTH (other)	0	2133	0	426.799	-0.947	-1.274	4	shielded
SC_RS23155	SCO4194		TetR family transcriptional regulator	TetR	0	886	2	75.626	-0.146	-0.453	3	shielded
SC_RS23170	SCO4197		MarR family winged helix-turn-helix transcriptional regulator	MarR	0	1032	5	107.392	-1.302	-1.216	6	shielded
SC_RS23175	SCO4198		helix-turn-helix domain-containing protein	HTH (other)	0	921	3	1426.431	2.189	0.672	9	shielded
SC_RS23215	SCO4206		AraC family transcriptional regulator	AraC	0	714	1	164.285	0.414	-0.292	3	shielded
SC_RS23260	SCO4215		GntR family transcriptional regulator	GntR	0	1873	1	475.407	-1.858	-2.341	1	shielded
SC_RS23300	SCO4223		AraC family transcriptional regulator	AraC	0	872	2	182.505	-1.393	-1.428	8	shielded
SC_RS23330	SCO4229		sensor histidine kinase	Sensor kinase	0	1093	2	2349.006	3.09	0.679	5	shielded
SC_RS23335	SCO4230		response regulator transcription factor	Response regulator	0	848	2	2819.708	4.228	1.42	3	shielded
SC_RS23345	SCO4232		CarD family transcriptional regulator	Other regulatory	0	998	3	11953.843	-1.122	-1.546	7	shielded
SC_RS23495	SCO4261		helix-turn-helix transcriptional regulator	HTH (other)	0	1814	2	5444.477	3.062	-0.057	5	shielded
SC_RS23500	SCO4263		helix-turn-helix transcriptional regulator	HTH (other)	0	1567	1	2663.617	-0.513	-1.63	5	shielded
SC_RS23535	SCO4270		TetR family transcriptional regulator	TetR	0	3978	0	103.612	-2.344	-1.592	2	shielded
SC_RS23560	SCO4275		sensor histidine kinase	Sensor kinase	0	3924	0	102.991	-2.442	-0.84	7	shielded
SC_RS23565	SCO4276		response regulator	Response regulator	0	2641	0	208.915	-2.688	-1.947	1	shielded
SC_RS23610	SCO4285		ROK family protein	ROK	0	507	3	99.268	-1.123	-0.608	4	shielded
SC_RS23690	SCO4301		helix-turn-helix domain-containing protein	HTH (other)	0	434	1	308.826	4.006	4.058	3	shielded
SC_RS23700	SCO4303		TetR/AcrR family transcriptional regulator	TetR	0	693	2	226.336	0.48	0.291	3	shielded
SC_RS23710	SCO4305		TetR/AcrR family transcriptional regulator	TetR	0	226	2	122.408	-0.764	-1.192	5	exposed
SC_RS23725	SCO4308		MurR/RpiR family transcriptional regulator	Other regulatory	0	67	3	158.23	-2.074	-0.44	3	shielded
SC_RS23750	SCO4313		TetR/AcrR family transcriptional regulator	TetR	0	575	2	208.718	-2.668	-2.557	8	shielded
SC_RS23810	SCO4326		1,4-dihydroxy-6-naphthoate synthase	HTH (other)	0	1108	2	498.508	-1.18	-2.428	4	shielded
SC_RS23860	SCO4336		MarR family winged helix-turn-helix transcriptional regulator	MarR	0	2203	0	985.344	-2.215	-1.866	8	shielded
SC_RS23960	SCO4358		TetR/AcrR family transcriptional regulator	TetR	0	2092	0	219.234	-1.612	-1.75	6	shielded
SC_RS23980	SCO4362		sensor histidine kinase	Sensor kinase	0	676	1	62.215	-0.528	0.141	4	shielded
SC_RS23985	SCO4363		response regulator transcription factor	Response regulator	0	532	1	88.727	-0.792	-0.802	7	shielded
SC_RS24045	SCO4375		MarR family winged helix-turn-helix transcriptional regulator	MarR	0	738	4	59.696	-0.735	-0.002	3	shielded
SC_RS24095	SCO4385		TetR/AcrR family transcriptional regulator	TetR	0	231	2	72.945	-2.742	-1.553	4	shielded
SC_RS24125	SCO4391		winged helix-turn-helix transcriptional regulator	HTH (other)	0	466	5	69.114	1.23	0.559	4	shielded
SC_RS24140	SCO4394		metal-dependent transcriptional regulator	Other regulatory	0	245	4	1521.103	0.108	-0.599	6	shielded
SC_RS24185	SCO4403	purU	formyltetrahydrofolate deformylase	TetR	0	385	2	425.871	-0.712	-1.778	7	shielded
SC_RS24205	SCO4407		GbsR/MarR family transcriptional regulator	MarR	0	1304	8	114.016	-0.61	-1.112	6	shielded
SC_RS24215	SCO4409		sigma-70 family RNA polymerase sigma factor	Sigma factor	0	666	9	2622.672	2.448	1.891	4	shielded
SC_RS24235	SCO4413		GlxA family transcriptional regulator	Other regulatory	0	771	4	166.316	1.328	0.857	5	shielded
SC_RS24270	SCO4421		TetR family transcriptional regulator	TetR	0	804	4	246.438	-1.55	-1.878	5	shielded
SC_RS24295	SCO4426	afsR	transcriptional regulator AfsR	Other regulatory	0	206	4	773.57	-0.261	-0.918	5	shielded
SC_RS24335	SCO4434		LysR family transcriptional regulator	LysR	0	265	1	110.501	-0.566	-0.647	3	shielded
SC_RS24370	SCO4441		helix-turn-helix domain-containing protein	HTH (other)	0	168	5	1334.775	3.689	2.477	4	shielded
SC_RS24380	SCO4443		MerR family transcriptional regulator	MerR	0	49	5	717.317	2.123	0.6	4	exposed
SC_RS24390	SCO4445		ArsR/SmtB family transcription factor	ArsR	0	1000	4	116.319	-1.575	-1.054	2	shielded
SC_RS24415	SCO4450		TetR/AcrR family transcriptional regulator	TetR	0	326	3	28.179	-1.562	0.039	5	shielded
SC_RS24425	SCO4452		RNA polymerase sigma factor	Sigma factor	0	128	3	143.539	0.44	0.595	4	shielded
SC_RS24435	SCO4454		TetR/AcrR family transcriptional regulator	TetR	0	1237	3	135.07	-1.817	-1.673	5	shielded
SC_RS24470	SCO4461		TetR/AcrR family transcriptional regulator	TetR	0	21	5	45.093	-0.323	0.002	0	shielded
SC_RS24490	SCO4465		PadR family transcriptional regulator	PadR	0	805	5	48.392	-0.929	-0.543	1	shielded
SC_RS24545	SCO4477		MerR family transcriptional regulator	MerR	0	1179	5	40.959	-0.936	0.436	4	shielded
SC_RS24560	SCO4480		TetR/AcrR family transcriptional regulator	TetR	0	840	7	81.275	-1.797	-0.893	1	shielded
SC_RS24570	SCO4482		LysR family transcriptional regulator	LysR	0	549	4	159.252	-1.571	-1.499	4	shielded
SC_RS24585	SCO4485		helix-turn-helix transcriptional regulator	HTH (other)	0	1089	2	89.85	-1.348	-0.687	4	shielded
SC_RS24625			Lrp/AsnC family transcriptional regulator	Lrp	0	1715	2	208.791	-1.322	-2.203	0	shielded
SC_RS24635	SCO4495		UdgX family uracil-DNA binding protein	Other regulatory	0	82	3	66.49	-2.524	-1.294	8	exposed
SC_RS24660	SCO4499		TetR/AcrR family transcriptional regulator	TetR	0	1006	1	774.906	-0.193	-2.717	1	shielded
SC_RS24870	SCO4543	whiJ	transcriptional regulator WhiJ	Other regulatory	0	1595	2	377.047	-1.105	-1.903	4	shielded
SC_RS24895	SCO4548		bacterial transcriptional activator domain-containing protein	Activator	0	3233	0	1192.356	-1.208	-2.357	1	shielded
SC_RS25095	SCO4588		tetratricopeptide repeat protein	TetR	0	598	2	777.852	-2.727	-1.142	13	shielded
SC_RS25135	SCO4596		response regulator transcription factor	Response regulator	0	2187	0	272.365	-0.632	-0.806	14	shielded
SC_RS25140	SCO4597		sensor histidine kinase	Sensor kinase	0	1041	1	164.008	-0.102	-0.077	2	shielded
SC_RS25145	SCO4598		sensor histidine kinase	Sensor kinase	0	296	2	141.53	0.602	0.397	0	shielded
SC_RS25300	SCO4628		GntR family transcriptional regulator	GntR	0	1555	1	606.978	-2.065	-2.663	2	shielded
SC_RS25320	SCO4632	fxsT	FxSxx-COOH system tetratricopeptide repeat protein	TetR	0	1569	1	622.942	1.37	0.863	2	shielded
SC_RS25370	SCO4639		TetR/AcrR family transcriptional regulator	TetR	0	252	4	156.747	-1.206	-2.258	8	exposed
SC_RS25375	SCO4640		TetR/AcrR family transcriptional regulator	TetR	0	923	3	424.646	-0.857	-2.446	4	shielded
SC_RS25415	SCO4647	nusG	transcription termination/antitermination protein NusG	Other regulatory	0	1218	1	3011.874	-2.28	-3.32	6	shielded
SC_RS25495	SCO4663		AfsR/SARP family transcriptional regulator	SARP	0	370	5	164.524	-1.4	-2.353	3	shielded
SC_RS25510	SCO4667		sensor histidine kinase	Sensor kinase	0	439	3	48.553	0.049	1.354	5	shielded
SC_RS25515	SCO4668		response regulator	Response regulator	0	674	3	188.333	-1.348	-1.682	2	shielded
SC_RS25530	SCO4671		LysR family transcriptional regulator	LysR	0	1497	2	104.092	0.326	-0.07	6	shielded
SC_RS25540	SCO4673		helix-turn-helix transcriptional regulator	HTH (other)	0	381	2	333.883	0.848	-0.072	8	shielded
SC_RS25555	SCO4676		helix-turn-helix domain-containing protein	HTH (other)	0	1897	1	349.661	4.939	4.74	7	shielded
SC_RS25565	SCO4678		helix-turn-helix domain-containing protein	HTH (other)	0	1305	1	379.808	2.002	1.872	5	shielded
SC_RS25575	SCO4680		helix-turn-helix transcriptional regulator	HTH (other)	0	590	1	316.462	0.299	-0.019	9	shielded
SC_RS25615	SCO4688		MerR family transcriptional regulator	MerR	0	1208	3	222.948	-0.21	-0.571	5	shielded
SC_RS25875	SCO4743		helix-turn-helix domain-containing protein	HTH (other)	0	432	3	80.061	-0.967	-0.953	2	shielded
SC_RS25930	SCO4754		LacI family DNA-binding transcriptional regulator	LacI	0	854	3	135.513	-1.458	-1.259	2	shielded
SC_RS25945	SCO4757		RNA polymerase sigma factor	Sigma factor	0	210	5	76.02	-0.5	0.121	1	shielded
SC_RS25990	SCO4766		LysR family transcriptional regulator	LysR	0	207	3	179.012	-0.561	-1.193	2	exposed
SC_RS25995	SCO4767		WhiB family transcriptional regulator	WhiB	0	1531	2	33.517	0.337	1.041	4	shielded
SC_RS26000	SCO4768		response regulator transcription factor	Response regulator	0	1913	2	3024.945	5.824	5.197	6	shielded
SC_RS26005	SCO4769		sigma-70 family RNA polymerase sigma factor	Sigma factor	0	2806	0	770.797	1.475	0.906	2	shielded
SC_RS26125	SCO4792		LuxR C-terminal-related transcriptional regulator	Other regulatory	0	505	3	444.8	0.327	-0.164	4	shielded
SC_RS26210	SCO4810		helix-turn-helix domain-containing protein	HTH (other)	0	572	5	155.894	-2.171	-1.767	9	shielded
SC_RS26275	SCO4822		single stranded DNA-binding domain-containing protein	Other regulatory	0	374	6	1304.742	-1.605	-4.157	1	shielded
SC_RS26280	SCO4824		bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	TetR	0	78	3	1112.196	-1.04	-2.653	3	shielded
SC_RS26290	SCO4826		XRE family transcriptional regulator	XRE	0	407	5	1286.353	-1.388	-1.656	18	shielded
SC_RS26340	SCO4836	pdxR	MocR-like pyridoxine biosynthesis transcription factor PdxR	Other regulatory	0	122	5	37.423	-0.483	1.696	1	shielded
SC_RS26410	SCO4850		TetR/AcrR family transcriptional regulator	TetR	0	1098	2	108.812	-1.204	-1.676	2	shielded
SC_RS26480	SCO4864		RNA polymerase sigma factor	Sigma factor	0	814	3	18.264	-1.025	0.115	1	shielded
SC_RS26490	SCO4866		RNA polymerase sigma factor	Sigma factor	0	315	4	91.224	-2.383	-1.463	8	shielded
SC_RS26515	SCO4871		TetR/AcrR family transcriptional regulator	TetR	0	763	2	155.952	0.451	-0.584	4	shielded
SC_RS26620	SCO4892		winged helix-turn-helix domain-containing protein	HTH (other)	0	309	5	144.743	0.924	0.906	3	shielded
SC_RS26635	SCO4895		sigma-70 family RNA polymerase sigma factor	Sigma factor	0	385	5	1651.943	-0.357	-0.468	1	shielded
SC_RS26645	SCO4897		LysR family transcriptional regulator	LysR	0	1094	3	88.412	-0.263	-0.204	7	shielded
SC_RS26650	SCO4898		TetR/AcrR family transcriptional regulator	TetR	0	1511	1	89.196	-0.39	-0.736	4	shielded
SC_RS26690	SCO4906	afsQ2	two-component system sensor histidine kinase AfsQ2	Sensor kinase	0	519	3	1137.916	-1.258	-2.312	2	shielded
SC_RS26695	SCO4907	afsQ1	two-component system response regulator AfsQ1	Response regulator	0	1167	4	1004.01	-1.445	-2.329	7	shielded
SC_RS26700	SCO4908		SigE family RNA polymerase sigma factor	Sigma factor	0	958	4	2483.885	-2.845	-0.328	6	shielded
SC_RS26760	SCO4920		DeoR/GlpR family DNA-binding transcription regulator	DeoR	0	811	4	10219.935	5.322	3.928	5	shielded
SC_RS26855	SCO4938	sigJ	RNA polymerase sigma factor SigJ	Sigma factor	0	40	2	35.549	-1.018	1.336	6	exposed
SC_RS26865	SCO4940		TetR/AcrR family transcriptional regulator	TetR	0	1046	2	64.897	-3.046	-2.197	9	shielded
SC_RS26875	SCO4942		TetR family transcriptional regulator	TetR	0	717	2	79.145	-1.921	-0.968	0	shielded
SC_RS26885	SCO4944		helix-turn-helix domain-containing protein	HTH (other)	0	217	4	425.696	-1.549	-2.02	2	shielded
SC_RS26925	SCO4952		TetR/AcrR family transcriptional regulator	TetR	0	1040	4	144.483	-0.059	-1.591	3	shielded
SC_RS26965	SCO4960		sigma factor-like helix-turn-helix DNA-binding protein	Sigma factor	0	94	5	154.977	-1.272	-1.515	5	exposed
SC_RS26970	SCO4961		MarR family winged helix-turn-helix transcriptional regulator	MarR	0	540	5	193.814	0.229	-0.242	6	shielded
SC_RS26990	SCO4965	greA	transcription elongation factor GreA	Other regulatory	0	965	1	892.561	-1.031	-1.186	5	shielded
SC_RS27010	SCO4969		tetratricopeptide repeat protein	TetR	0	853	1	1077.266	-0.309	-0.82	2	shielded
SC_RS27045	SCO4977		acyl-CoA-like ligand-binding transcription factor	Other regulatory	0	1725	1	112.949	-1.252	-1.006	1	shielded
SC_RS27105	SCO4989		IclR family transcriptional regulator	IclR	0	197	6	277.783	-1.717	-2.392	7	exposed
SC_RS27140	SCO4996		SigE family RNA polymerase sigma factor	Sigma factor	0	285	3	189.794	0.386	-0.117	6	shielded
SC_RS27150	SCO4998		helix-turn-helix domain-containing protein	HTH (other)	0	738	3	68.517	0.227	0.588	0	shielded
SC_RS27250	SCO5017		AraC-like ligand-binding domain-containing protein	AraC	0	134	3	60.351	1.835	3.05	3	shielded
SC_RS27290	SCO5025		MerR family transcriptional regulator	MerR	0	96	1	117.494	0.281	-0.367	3	shielded
SC_RS27300	SCO5027		winged helix DNA-binding domain-containing protein	HTH (other)	0	104	2	112.751	-2.254	-1.101	4	exposed
SC_RS27330	SCO5033		LysR substrate-binding domain-containing protein	LysR	0	40	4	161.515	-0.752	-0.736	4	shielded
SC_RS27345	SCO5036		PadR family transcriptional regulator	PadR	0	262	3	419.634	-2.478	-2.056	7	shielded
SC_RS27395	SCO5046		WhiB family transcriptional regulator	WhiB	0	548	4	317.878	0.878	1.428	5	shielded
SC_RS27485	SCO5065		helix-turn-helix transcriptional regulator	HTH (other)	0	2376	0	258.273	0.486	0.136	3	shielded
SC_RS27500	SCO5068		TetR/AcrR family transcriptional regulator	TetR	0	2026	0	90.644	-0.202	-1.26	3	shielded
SC_RS27570	SCO5082	actII	TetR family transcriptional regulator ActII	TetR	0	609	2	1530.571	-0.83	2.595	11	shielded
SC_RS27585	SCO5085		AfsR/SARP family transcriptional regulator	SARP	0	777	2	2568.523	1.985	6.436	13	shielded
SC_RS27635	SCO5095		helix-turn-helix domain-containing protein	HTH (other)	0	813	4	41.502	-1.088	0.309	2	shielded
SC_RS27640	SCO5096		LysR family transcriptional regulator	LysR	0	523	4	63.287	-0.428	0.724	3	shielded
SC_RS27660	SCO5100		GntR family transcriptional regulator	GntR	0	381	4	558.874	3.315	2.524	4	shielded
SC_RS27785	SCO5125		helix-turn-helix domain-containing protein	HTH (other)	0	138	4	440.713	2.694	2.532	3	shielded
SC_RS27815	SCO5131		sensor histidine kinase	Sensor kinase	0	968	6	78.81	-0.69	-0.043	5	shielded
SC_RS27820	SCO5132		response regulator transcription factor	Response regulator	0	1202	1	149.263	-1.031	-1.707	3	shielded
SC_RS27900	SCO5147	sigE	RNA polymerase sigma factor SigE	Sigma factor	0	617	1	4235.681	-0.767	0.761	7	shielded
SC_RS27905	SCO5148		anti-sigma factor family protein	Sigma factor	0	1285	3	1758.893	-0.553	0.604	0	shielded
SC_RS28015	SCO5170		TetR/AcrR family transcriptional regulator	TetR	0	886	2	1012.33	0.235	-0.825	4	shielded
SC_RS28115	SCO5190		WhiB family transcriptional regulator	WhiB	0	1130	3	217.226	-2.611	-1.994	2	shielded
SC_RS28200	SCO5205		tetratricopeptide repeat protein	TetR	0	2583	0	747.401	-0.61	-0.184	7	shielded
SC_RS28210	SCO5206		Fur family transcriptional regulator	Other regulatory	0	894	1	463.236	0.048	-0.299	4	shielded
SC_RS28225	SCO5209		TetR/AcrR family transcriptional regulator	TetR	0	826	1	134.698	-0.648	-0.653	2	shielded
SC_RS28260	SCO5216	sigR	RNA polymerase sigma factor SigR	Sigma factor	0	2156	0	3873.606	1.688	0.1	9	shielded
SC_RS28265	SCO5217	rsrA	mycothiol system anti-sigma-R factor	Anti-sigma	0	1476	1	855.398	1.644	0.116	1	shielded
SC_RS28280	SCO5220		tetratricopeptide repeat protein	TetR	0	1402	2	1375.6	0.323	-0.59	0	shielded
SC_RS28300	SCO5224		GlxA family transcriptional regulator	Other regulatory	0	1251	1	1044.089	0.173	-2.184	3	shielded
SC_RS28335	SCO5231		GntR family transcriptional regulator	GntR	0	1358	2	158.78	-0.877	-1.183	11	shielded
SC_RS28370	SCO5238		TetR/AcrR family transcriptional regulator	TetR	0	1061	2	249.73	0.904	0.095	4	shielded
SC_RS28375	SCO5239		PAS domain-containing sensor histidine kinase	Sensor kinase	0	2134	0	370.591	-1.81	-1.769	6	shielded
SC_RS28380	SCO5240		WhiB family transcriptional regulator	WhiB	0	4115	0	1868.121	-0.832	-1.333	6	shielded
SC_RS28395	SCO5243		RNA polymerase sigma factor SigF	Sigma factor	0	3247	0	1614.067	1.029	0.157	5	shielded
SC_RS28495			helix-turn-helix domain-containing protein	HTH (other)	0	1048	6	49.681	-0.572	-0.492	5	shielded
SC_RS28505	SCO5264		PadR family transcriptional regulator	PadR	0	515	4	337.825	-1.88	-1.953	2	shielded
SC_RS28560	SCO5275	fxsT	FxSxx-COOH system tetratricopeptide repeat protein	TetR	0	1485	2	1177.601	3.269	1.627	3	shielded
SC_RS28585	SCO5280	fxsT	FxSxx-COOH system tetratricopeptide repeat protein	TetR	0	333	1	262.083	-1.238	-0.339	8	shielded
SC_RS28595	SCO5282		sensor histidine kinase	Sensor kinase	0	1596	7	311.554	-1.126	-1.614	3	shielded
SC_RS28600	SCO5283		response regulator transcription factor	Response regulator	0	2327	0	556.449	-1.045	-2.131	0	shielded
SC_RS28620	SCO5287		MarR family winged helix-turn-helix transcriptional regulator	MarR	0	1670	1	94.955	-2.016	-1.794	2	shielded
SC_RS28630	SCO5289		sensor histidine kinase	Sensor kinase	0	90	2	2509.053	-0.014	-2.415	0	exposed
SC_RS28665	SCO5296		TetR/AcrR family transcriptional regulator	TetR	0	1085	3	63.599	-0.667	-0.511	4	shielded
