tss_id,tss_position,strand,abundance,category,sco_gene,reference,gene_id
TSS-0831,2271109,+,13,P,SCO2113,,SC_RS12605
TSS-0832,2271956,-,80,P,SCO2114,,SC_RS12610
TSS-0833,2273425,-,18,P,SCO2115,Vockenhuber et al. and Romero et al.,SC_RS12615
TSS-0834,2273530,+,75,P,SCO2116,,SC_RS12620
TSS-0835,2276540,+,3,P,SCO2117,Romero et al.,SC_RS12630
TSS-0836,2279578,-,6,P,SCO2118,,SC_RS12635
TSS-0837,2280696,-,10,P,SCO2119,,SC_RS12640
TSS-0838,2282880,-,16,P,SCO2121,,SC_RS12650
TSS-0839,2283524,-,26,P,SCO2122,,SC_RS12655
TSS-0840,2284332,+,6,P,SCO2124,,SC_RS12665
TSS-0841,2285838,-,2,P,SCO2125,,SC_RS12670
TSS-0842,2286964,-,2174,P,SCO2126,Romero et al.,SC_RS12675
TSS-0843,2290491,+,28,P,SCO2131,,SC_RS12700
TSS-0844,2290583,-,17,P,SCO2130,,SC_RS12695
TSS-0845,2292509,-,6,I,SCO2132,,SC_RS12705
TSS-0846,2293733,-,7,P,SCO2132,,SC_RS12705
TSS-0847,2296379,-,3,P,SCO2134,,SC_RS12715
TSS-0848,2298800,-,11,P,SCO2136,,SC_RS12725
TSS-0849,2298952,+,2,N,,Romero et al.,
TSS-0850,2300685,-,23,P,SCO2138,Romero et al.,SC_RS12735
TSS-0851,2301517,+,124,P,SCO2140,,SC_RS12745
TSS-0852,2308771,-,695,P,SCO2146,Vockenhuber et al. and Romero et al.,SC_RS12775
TSS-0853,2309954,-,41,P,SCO2147,Romero et al.,SC_RS12780
TSS-0854,2314026,+,10,S,SCO2152,,SC_RS12805
TSS-0855,2314234,-,2847,P,SCO2151,,SC_RS12800
TSS-0856,2314405,+,19,P,SCO2152,Romero et al.,SC_RS12805
TSS-0857,2315061,-,11,I,SCO2153,,SC_RS12810
TSS-0858,2316168,-,3,P,SCO2153,,SC_RS12810
TSS-0859,2319550,-,2,P,SCO2156,,SC_RS12825
TSS-0860,2319777,+,6,P,SCO2157,,SC_RS12830
TSS-0861,2322298,-,6,P,SCO2158,,SC_RS12835
TSS-0862,2324826,-,370,P,SCO2161,Vockenhuber et al. and Romero et al.,SC_RS12850
TSS-0863,2325018,+,34,P,SCO2162,Romero et al.,SC_RS12855
TSS-0864,2329534,-,43,P,SCO2164,,SC_RS12860
TSS-0865,2332888,-,421,S,SCO2168,Romero et al.,SC_RS12880
TSS-0866,2333067,-,2598,P,SCO2168,Romero et al.,SC_RS12880
TSS-0867,2333150,+,46,P,SCO2169,Romero et al.,SC_RS12885
TSS-0868,2336061,-,203,P,SCO2172,,SC_RS12900
TSS-0869,2338274,+,3,P,SCO2175,,SC_RS12915
TSS-0870,2342351,+,17,P,SCO2179,Romero et al.,SC_RS12935
TSS-0871,2344238,+,1432,P,SCO2180,Romero et al.,SC_RS12940
TSS-0872,2347731,+,29,P,SCO2182,Romero et al.,SC_RS12950
TSS-0873,2353100,+,9,I,SCO2186,,SC_RS12965
TSS-0874,2354571,+,5,P,SCO2188,Romero et al.,
TSS-0875,2356455,+,26,P,SCO2190,,SC_RS12985
TSS-0876,2357697,-,13,N,,,
TSS-0877,2360797,-,57,P,SCO2192,,SC_RS12995
TSS-0878,2360912,+,3,P,SCO2193,,SC_RS13000
TSS-0879,2361877,+,70,P,SCO2194,Romero et al.,SC_RS13005
TSS-0880,2363038,+,11,P,SCO2195,Romero et al.,SC_RS13010
TSS-0881,2363402,+,1253,P,SCO2196,Romero et al.,SC_RS13015
TSS-0882,2364684,-,6,P,SCO2197,Romero et al.,SC_RS13020
TSS-0883,2364763,+,7,S,SCO2198,Romero et al.,SC_RS13025
TSS-0884,2364831,+,104,P,SCO2198,Romero et al.,SC_RS13025
TSS-0885,2366433,+,16,P,SCO2199,Vockenhuber et al. and Romero et al.,SC_RS13030
TSS-0886,2367728,+,26,P,SCO2201,Romero et al.,SC_RS13040
TSS-0887,2368147,+,10,P,SCO2202,,SC_RS13045
TSS-0888,2371384,-,10,P,SCO2205,Romero et al.,SC_RS13060
TSS-0889,2371498,+,71,P,SCO2206,,SC_RS13065
TSS-0890,2371945,+,6,P,SCO2207,,SC_RS13070
TSS-0891,2373587,-,2,P,SCO2208,,SC_RS13075
TSS-0892,2373605,+,1,P,SCO2209,,SC_RS13080
TSS-0893,2374240,+,108,P,SCO2210,,SC_RS13085
TSS-0894,2375406,+,45,P,SCO2211,,SC_RS13090
TSS-0895,2376423,+,9,P,SCO2212,Vockenhuber et al. and Romero et al.,
TSS-0896,2379621,+,3,P,SCO2216,,SC_RS13110
TSS-0897,2380418,+,10,P,SCO2217,,SC_RS13115
TSS-0898,2382653,+,25,P,SCO2219,,SC_RS13125
TSS-0899,2400413,+,6,P,SCO2232,,SC_RS13190
TSS-0900,2401780,+,46,P,SCO2233,Romero et al.,SC_RS13195
TSS-0901,2405823,-,3,P,SCO2234,,SC_RS13200
TSS-0902,2405920,+,20,P,SCO2235,,SC_RS13205
TSS-0903,2406115,+,5,P,SCO2236,,SC_RS13210
TSS-0904,2408757,-,89,P,SCO2238,,SC_RS13220
TSS-0905,2410181,-,27,P,SCO2240,,SC_RS13230
TSS-0906,2410292,+,170,P,SCO2241,,SC_RS13235
TSS-0907,2410357,+,22,S,SCO2241,,SC_RS13235
TSS-0908,2412355,+,105,P,SCO2243,,SC_RS13245
TSS-0909,2416160,-,3,P,SCO2246,,
TSS-0910,2416630,-,7,P,SCO2247,,
TSS-0911,2417848,+,32,P,SCO2250,,SC_RS13275
TSS-0912,2419689,-,5,S,SCO2252,,SC_RS13285
TSS-0913,2419915,-,12,P,SCO2252,Romero et al.,SC_RS13285
TSS-0914,2420157,-,5,I,SCO2253,,SC_RS13290
TSS-0915,2420519,-,4,P,SCO2253,,SC_RS13290
TSS-0916,2423051,+,4,P,SCO2256,,SC_RS13305
TSS-0917,2423076,-,26,P,SCO2255,Romero et al.,SC_RS13300
TSS-0918,2423246,+,2,S,SCO2256,Romero et al.,SC_RS13305
TSS-0919,2424359,+,43,P,SCO2257,,SC_RS13310
TSS-0920,2431422,-,4,P,SCO2261,Romero et al.,SC_RS13330
TSS-0921,2432295,+,2,P,SCO2263,,SC_RS13340
TSS-0922,2434908,+,8,P,SCO2266,,SC_RS13355
TSS-0923,2435899,-,51,N,,,
TSS-0924,2435930,+,66,P,SCO2267,,SC_RS13360
TSS-0925,2447775,+,4,P,SCO2278,,SC_RS13415
TSS-0926,2449561,-,46,P,SCO2279,Romero et al.,SC_RS13420
TSS-0927,2455044,+,4,P,SCO2285,,SC_RS13450
TSS-0928,2458788,-,9,N,,,
TSS-0929,2460025,+,6,P,SCO2290,,SC_RS13475
TSS-0930,2463312,-,1496,P,SCOs01,Romero et al.,SC_RS13490
TSS-0931,2465169,+,25,P,SCO2295,,SC_RS13505
TSS-0932,2471173,-,7,P,SCO2301,,SC_RS13535
TSS-0933,2471367,+,7,P,SCO2302,,SC_RS13540
TSS-0934,2472708,+,100,P,SCO2303,,SC_RS13545
TSS-0935,2473959,-,9,P,SCO2304,,SC_RS13550
TSS-0936,2481884,+,3,P,SCO2311,,SC_RS13585
TSS-0937,2485358,+,138,P,SCO2314,Romero et al.,SC_RS13600
TSS-0938,2486429,+,4,P,SCO2315,,SC_RS13605
TSS-0939,2490116,+,222,P,SCO2319,,SC_RS13625
TSS-0940,2491687,+,6,P,SCO2321,Romero et al.,SC_RS13635
TSS-0941,2500653,+,12,P,SCO2330,,SC_RS13680
TSS-0942,2502759,+,4,P,SCO2334,,SC_RS13700
TSS-0943,2506737,-,2,P,SCO2335,Romero et al.,SC_RS13705
TSS-0944,2510033,-,4,P,SCO2339,,SC_RS13725
TSS-0945,2510090,+,153,P,SCO2340,Vockenhuber et al. and Romero et al.,SC_RS13730
TSS-0946,2511797,-,3,S,SCO2342,,SC_RS13740
TSS-0947,2511894,-,3,P,SCO2342,,SC_RS13740
TSS-0948,2511913,+,2,P,SCO2343,,SC_RS13745
TSS-0949,2513581,+,11,A,SCO2344,,SC_RS13750
TSS-0950,2514571,-,5,P,SCO2344,,SC_RS13750
TSS-0951,2517636,-,282,P,SCO2347,Romero et al.,SC_RS13765
TSS-0952,2518587,-,123,N,,,
TSS-0953,2521127,+,54,P,SCO2351,,SC_RS13785
TSS-0954,2522699,-,85,P,SCO2353,,SC_RS13795
TSS-0955,2522814,+,9,P,SCO2354,,SC_RS13800
TSS-0956,2523286,-,11,P,SCOt10,Romero et al.,SC_RS13805
TSS-0957,2532246,-,5,P,SCO2362,,SC_RS13845
TSS-0958,2533271,-,4,S,SCO2363,,SC_RS13850
TSS-0959,2533347,-,7,P,SCO2363,,SC_RS13850
TSS-0960,2533506,+,9,P,SCO2364,,SC_RS13855
TSS-0961,2533510,-,4,S,SCO2363,,SC_RS13850
TSS-0962,2533546,-,2,S,SCO2363,Romero et al.,SC_RS13850
TSS-0963,2535336,-,10,P,SCO2365,,SC_RS13860
TSS-0964,2536624,-,43,P,SCO2366,,SC_RS13865
TSS-0965,2537963,-,705,P,SCO2368,Romero et al.,SC_RS13875
TSS-0966,2537974,-,445,S,SCO2368,,SC_RS13875
TSS-0967,2538225,-,2,S,SCO2368,Romero et al.,SC_RS13875
TSS-0968,2538229,+,5,A,SCO2369,,SC_RS13880
TSS-0969,2538615,-,113,P,SCO2369,,SC_RS13880
TSS-0970,2539213,-,130,P,SCO2370,Romero et al.,SC_RS13885
TSS-0971,2539400,+,13,S,SCO2371,Romero et al.,SC_RS13890
TSS-0972,2539431,-,18,S,SCO2370,Romero et al.,SC_RS13885
TSS-0973,2539483,+,16,P,SCO2371,,SC_RS13890
TSS-0974,2544617,-,22,P,SCO2373,Romero et al.,SC_RS13900
TSS-0975,2544685,+,4,P,SCO2374,,SC_RS13905
TSS-0976,2545470,+,8,P,SCO2375,,SC_RS13910
TSS-0977,2546758,+,67,P,SCO2376,Romero et al.,SC_RS13915
TSS-0978,2551643,+,263,P,SCO2382,Romero et al.,SC_RS13945
TSS-0979,2552108,+,22,P,SCO2383,,SC_RS13950
TSS-0980,2553813,+,11,I,SCO2383,,SC_RS13950
TSS-0981,2556410,+,119,P,SCO2384,Romero et al.,SC_RS13955
TSS-0982,2556761,+,91,S,SCO2384,,SC_RS13955
TSS-0983,2557985,-,80,P,SCO2385,,SC_RS13960
TSS-0984,2559340,+,408,P,SCO2387,,SC_RS13970
TSS-0985,2560106,+,4,P,SCO2388,,SC_RS13975
TSS-0986,2561338,+,4374,P,SCO2389,,SC_RS13980
TSS-0987,2564900,+,45,P,SCO2393,,SC_RS14000
TSS-0988,2566120,+,5,P,SCO2394,,SC_RS14005
TSS-0989,2568256,-,8,P,SCO2395,,SC_RS14010
TSS-0990,2572192,-,3,S,SCO2400,,SC_RS14035
TSS-0991,2572562,-,21,P,SCO2400,,SC_RS14035
TSS-0992,2582120,+,3,I,SCO2408,,SC_RS14075
TSS-0993,2593724,+,19,A,SCO2420,,SC_RS14135
TSS-0994,2598676,-,3,A,SCO2424,,SC_RS14155
TSS-0995,2600215,+,20,P,SCO2426,Romero et al.,SC_RS14165
TSS-0996,2613285,+,109,P,SCO2435,Romero et al.,SC_RS14210
TSS-0997,2618737,-,3,P,SCO2439,,SC_RS14230
TSS-0998,2619473,-,194,P,SCO2440,Romero et al.,SC_RS14235
TSS-0999,2625429,+,13214,N,,Romero et al.,
TSS-1000,2629370,+,29,P,SCO2447,,SC_RS14270
TSS-1001,2629520,+,18,S,SCO2447,,SC_RS14270
TSS-1002,2644928,-,4,P,SCO2457,,SC_RS14320
TSS-1003,2645451,-,24,P,SCO2458,,SC_RS14325
TSS-1004,2645607,+,18,P,SCO2459,Romero et al.,SC_RS14330
TSS-1005,2646648,-,21,P,SCO2460,,SC_RS14335
TSS-1006,2647033,-,44,P,SCOt11,Romero et al.,SC_RS14340
TSS-1007,2647247,+,22,S,SCO2461,Vockenhuber et al.,SC_RS14355
TSS-1008,2647258,-,22,P,SCOt13,,SC_RS14350
TSS-1009,2647343,-,18,S,SCOt13,Romero et al.,SC_RS14350
TSS-1010,2647363,+,80,P,SCO2461,Romero et al.,SC_RS14355
TSS-1011,2647782,+,251,P,SCO2462,Romero et al.,SC_RS14360
TSS-1012,2649324,+,128,P,SCO2463,Romero et al.,SC_RS14365
TSS-1013,2658056,-,32,P,SCO2468,,SC_RS14390
TSS-1014,2659469,-,2,P,SCO2469,Romero et al.,SC_RS14395
TSS-1015,2661652,-,11,P,SCO2471,,SC_RS14405
TSS-1016,2662608,+,24,P,SCO2473,,SC_RS14415
TSS-1017,2672045,-,4,P,SCO2481,,SC_RS14455
TSS-1018,2676046,+,29,P,SCO2486,,SC_RS14480
TSS-1019,2680340,+,92,P,SCO2489,,SC_RS14495
TSS-1020,2682775,-,3,P,SCO2491,,SC_RS14505
TSS-1021,2684737,-,276,P,SCO2493,,SC_RS14515
TSS-1022,2690336,+,3,I,SCO2496,Romero et al.,SC_RS14530
TSS-1023,2699656,-,2,P,SCO2501,,SC_RS14555
TSS-1024,2703896,-,129,P,SCO2504,Romero et al.,SC_RS14570
TSS-1025,2704004,+,14,P,SCO2505,Romero et al.,SC_RS14575
TSS-1026,2704834,+,6,P,SCO2506,Romero et al.,SC_RS14580
TSS-1027,2707308,+,30,N,,,
TSS-1028,2708288,-,63,P,SCO2509,,SC_RS14595
TSS-1029,2708334,-,46,S,SCO2509,,SC_RS14595
TSS-1030,2709442,+,18,P,SCO2513,Romero et al.,SC_RS14615
TSS-1031,2710232,+,192,P,SCO2514,,SC_RS14620
TSS-1032,2711253,+,2,P,SCO2516,,SC_RS14630
TSS-1033,2716890,-,7,P,SCO2519,,SC_RS14645
TSS-1034,2718295,-,2,P,SCO2520,,SC_RS14650
TSS-1035,2723823,-,53,P,SCO2525,Romero et al.,SC_RS14675
TSS-1036,2723946,-,18,S,SCO2525,Romero et al.,SC_RS14675
TSS-1037,2725333,-,5,P,SCO2527,,SC_RS14685
TSS-1038,2727364,-,247,P,SCO2528,Vockenhuber et al. and Romero et al.,SC_RS14690
TSS-1039,2727403,-,25,S,SCO2528,Romero et al.,SC_RS14690
TSS-1040,2727564,+,6,P,SCO2529,Vockenhuber et al.,SC_RS14695
TSS-1041,2728980,+,12,P,SCO2531,,SC_RS14705
TSS-1042,2730367,+,25,P,SCO2532,Romero et al.,SC_RS14710
TSS-1043,2736606,+,194,P,SCO2539,Romero et al.,SC_RS14745
TSS-1044,2746000,-,14,P,SCO2546,,SC_RS14780
TSS-1045,2747336,-,24,P,SCO2548,,SC_RS14790
TSS-1046,2755123,-,53,P,SCO2554,,SC_RS14820
TSS-1047,2756141,-,164,P,SCO2555,Romero et al.,SC_RS14825
TSS-1048,2758426,-,72,P,SCO2558,,SC_RS14840
TSS-1049,2762220,-,15,P,SCO2560,Romero et al.,SC_RS14850
TSS-1050,2764429,-,21,P,SCO2561,,SC_RS14855
TSS-1051,2766524,-,443,P,SCO2562,Romero et al.,SC_RS14860
TSS-1052,2766600,+,89,P,SCO2563,Romero et al.,SC_RS14865
TSS-1053,2768258,-,124,P,SCO2564,,SC_RS14870
TSS-1054,2768568,-,2,P,SCO2565,Romero et al.,SC_RS14875
TSS-1055,2769502,-,3,S,SCO2566,,SC_RS14880
TSS-1056,2769520,-,4,P,SCO2566,,SC_RS14880
TSS-1057,2774499,-,27,P,SCO2569,,SC_RS14895
TSS-1058,2778624,-,515,P,SCO2571,Vockenhuber et al. and Romero et al.,SC_RS14905
TSS-1059,2782025,-,9,P,SCOt14,Romero et al.,SC_RS14920
TSS-1060,2782599,-,136,P,SCO2575,,
TSS-1061,2782898,-,25,P,SCOt15,Vockenhuber et al.,SC_RS14930
TSS-1062,2783991,+,17,A,SCO2577,,SC_RS14940
TSS-1063,2784087,-,16,P,SCO2577,Romero et al.,SC_RS14940
TSS-1064,2786440,-,4,I,SCO2579,,SC_RS14950
TSS-1065,2786928,-,9,P,SCO2580,,SC_RS14955
TSS-1066,2787005,+,9,P,SCO2582,Romero et al.,SC_RS14965
TSS-1067,2787173,-,20,P,SCO2581,Romero et al.,SC_RS14960
TSS-1068,2787206,+,9,S,SCO2582,,SC_RS14965
TSS-1069,2790238,-,29,P,SCO2584,Romero et al.,SC_RS14975
TSS-1070,2793555,-,5,P,SCO2587,,SC_RS14990
TSS-1071,2796995,+,12,P,SCO2589,Romero et al.,SC_RS15000
TSS-1072,2803096,+,6,P,SCO2591,Vockenhuber et al.,SC_RS15010
TSS-1073,2810671,-,54,P,SCO2594,Vockenhuber et al. and Romero et al.,SC_RS15025
TSS-1074,2812290,+,19,N,,,
TSS-1075,2813094,-,4353,P,SCO2597,Romero et al.,SC_RS15040
TSS-1076,2819508,-,904,P,SCO2600,Romero et al.,SC_RS15055
TSS-1077,2823605,+,11,P,SCO2603,,SC_RS15080
TSS-1078,2826179,+,21,P,SCO2605,,SC_RS15090
TSS-1079,2826259,-,62,P,SCO2604,,SC_RS15085
TSS-1080,2826447,+,8,S,SCO2605,,SC_RS15090
TSS-1081,2829508,-,4,P,SCO2606,,SC_RS15100
TSS-1082,2834892,-,48,P,SCO2610,,SC_RS15120
TSS-1083,2836014,-,496,P,SCO2611,Romero et al.,SC_RS15125
TSS-1084,2836089,-,35,S,SCO2611,Romero et al.,SC_RS15125
TSS-1085,2836704,-,150,P,SCO2612,,SC_RS15130
TSS-1086,2838671,-,8,P,SCO2614,Romero et al.,SC_RS15140
TSS-1087,2841581,-,1141,P,SCO2615,Romero et al.,SC_RS15145
TSS-1088,2841687,+,9,P,SCO2616,,SC_RS15150
TSS-1089,2844162,-,38,P,SCO2617,Romero et al.,SC_RS15155
TSS-1090,2844204,-,18,S,SCO2617,,SC_RS15155
TSS-1091,2844655,+,46,A,SCO2618,Romero et al.,SC_RS15160
TSS-1092,2845744,-,103,P,SCO2619,Romero et al.,SC_RS15165
TSS-1093,2847514,-,2779,P,SCO2620,Romero et al.,SC_RS15170
TSS-1094,2847660,-,97,P,SCOt16,,SC_RS15175
TSS-1095,2847782,+,77,P,SCOt17,Romero et al.,SC_RS15180
TSS-1096,2847831,-,2,S,SCOt16,,SC_RS15175
TSS-1097,2848242,-,7,S,SCO2621,Romero et al.,SC_RS15185
TSS-1098,2848649,-,11,P,SCO2621,Romero et al.,SC_RS15185
TSS-1099,2848734,+,9,P,SCO2622,,SC_RS15190
TSS-1100,2851769,-,48,P,SCO2624,Romero et al.,SC_RS15200
TSS-1101,2851860,+,64,P,SCO2625,,SC_RS15205
TSS-1102,2854597,-,1494,P,SCO2627,Romero et al.,SC_RS15215
TSS-1103,2854748,+,3,P,SCO2628,,
TSS-1104,2856109,-,7,A,SCO2629,,
TSS-1105,2860051,+,2476,P,SCO2633,Vockenhuber et al. and Romero et al.,SC_RS15240
TSS-1106,2861594,-,25,P,SCO2634,,SC_RS15245
TSS-1107,2865826,+,14,P,SCO2637,,SC_RS15260
TSS-1108,2870699,+,315,P,SCO2640,,SC_RS15275
TSS-1109,2870778,+,49,S,SCO2640,Romero et al.,SC_RS15275
TSS-1110,2873663,+,14,P,SCO2643,Romero et al.,SC_RS15290
TSS-1111,2873743,+,11,S,SCO2643,,SC_RS15290
TSS-1112,2877352,-,3,P,SCO2644,,SC_RS15295
TSS-1113,2879447,+,12,P,SCO2647,,SC_RS15310
TSS-1114,2880369,-,351,P,SCO2648,Romero et al.,SC_RS15315
TSS-1115,2882996,-,3,P,SCO2650,,SC_RS15325
TSS-1116,2883269,+,41,A,SCO2651,,SC_RS15330
TSS-1117,2884044,-,9,P,SCO2651,,SC_RS15330
TSS-1118,2884061,+,165,P,SCO2652,,SC_RS15335
TSS-1119,2885454,+,7,P,SCO2654,Romero et al.,SC_RS15345
TSS-1120,2886689,-,2,P,SCO2655,Romero et al.,SC_RS15350
TSS-1121,2886738,+,3,P,SCO2656,,SC_RS15355
TSS-1122,2888288,+,5,P,SCO2657,,SC_RS15360
TSS-1123,2892786,+,9,P,SCO2661,,SC_RS15380
TSS-1124,2895078,+,10,P,SCO2663,Romero et al.,SC_RS15390
TSS-1125,2896147,+,3,P,SCO2664,,SC_RS15395
TSS-1126,2897559,+,9,P,SCO2665,,SC_RS15400
TSS-1127,2901634,+,1,P,SCO2667,,SC_RS15415
TSS-1128,2903335,+,3,P,SCO2668,,SC_RS15420
TSS-1129,2904722,+,62,P,SCO2669,Romero et al.,SC_RS15425
TSS-1130,2907651,-,20,P,SCO2670,Romero et al.,SC_RS15430
TSS-1131,2907747,+,41,P,SCO2671,Romero et al.,SC_RS15435
TSS-1132,2916715,-,6,P,SCO2676,,SC_RS15460
TSS-1133,2918451,-,132,P,SCO2677,Romero et al.,SC_RS15465
TSS-1134,2925058,-,6,P,SCO2683,,SC_RS15495
TSS-1135,2929528,+,50,P,SCOt18,,SC_RS15510
TSS-1136,2929547,+,37,S,SCOt18,Romero et al.,SC_RS15510
TSS-1137,2930862,-,63,P,SCO2686,,SC_RS15515
TSS-1138,2931699,+,8,P,SCO2688,,SC_RS15530
TSS-1139,2934923,-,24,A,SCO2690,,SC_RS15540
TSS-1140,2940333,+,9,P,SCO2695,,SC_RS15565
TSS-1141,2942891,-,16,P,SCO2697,,SC_RS15575
TSS-1142,2962051,-,16,P,SCO2718,,SC_RS15675
TSS-1143,2962086,+,83,P,SCO2719,,SC_RS15680
TSS-1144,2962636,-,7,A,SCO2719,Romero et al.,SC_RS15680
TSS-1145,2968918,+,6,A,SCO2723,,SC_RS15700
TSS-1146,2975713,+,68,P,SCO2729,,SC_RS15730
TSS-1147,2976327,+,7,P,SCO2730,,SC_RS15735
TSS-1148,2980535,+,2,P,SCO2734,,SC_RS15755
TSS-1149,2982224,+,3639,N,,Romero et al.,
TSS-1150,2982570,+,9,N,,,
TSS-1151,2984104,-,135,P,SCO2736,Vockenhuber et al. and Romero et al.,SC_RS15765
TSS-1152,2986623,+,219,N,,,
TSS-1153,2987596,+,5,P,SCO2741,,SC_RS15790
TSS-1154,2987905,+,21,I,SCO2741,,SC_RS15790
TSS-1155,2994844,+,76,P,SCO2748,,SC_RS15825
TSS-1156,2996439,-,20,N,,Romero et al.,
TSS-1157,2999759,+,7,P,SCO2753,,SC_RS15850
TSS-1158,3001129,+,2,P,SCO2754,,SC_RS15855
TSS-1159,3002577,-,11,P,SCO2755,,SC_RS15860
TSS-1160,3009462,+,5,A,SCO2761,,SC_RS15890
TSS-1161,3012297,+,3,A,SCO2763,,SC_RS15900
TSS-1162,3014748,-,18,P,SCO2763,,SC_RS15900
TSS-1163,3015897,+,52,P,SCO2765,,SC_RS15910
TSS-1164,3022753,+,191,P,SCO2771,,SC_RS15940
TSS-1165,3026699,-,4,P,SCO2774,,SC_RS15955
TSS-1166,3033112,+,57,P,SCO2780,,SC_RS15985
TSS-1167,3034209,-,4,A,SCO2780,,SC_RS15985
TSS-1168,3035578,+,11,P,SCO2782,,SC_RS15995
TSS-1169,3041740,+,4,A,SCO2786,,SC_RS16015
TSS-1170,3042474,+,55,P,SCO2787,,SC_RS16020
TSS-1171,3042481,-,3,S,SCO2786,,SC_RS16015
TSS-1172,3042549,-,3,P,SCO2786,,SC_RS16015
TSS-1173,3043459,+,60,P,SCO2788,,SC_RS16025
TSS-1174,3046228,-,49,S,SCO2790,Romero et al.,SC_RS16035
TSS-1175,3046291,-,93,P,SCO2790,,SC_RS16035
TSS-1176,3046939,+,195,S,SCO2792,Romero et al.,SC_RS16045
TSS-1177,3046953,+,681,P,SCO2792,,SC_RS16045
TSS-1178,3047031,+,529,S,SCO2792,,SC_RS16045
TSS-1179,3048673,+,180,P,SCO2793,Romero et al.,SC_RS16050
TSS-1180,3049352,+,201,P,SCOt19,Romero et al.,SC_RS16055
TSS-1181,3051106,+,38,P,SCO2795,,SC_RS16065
TSS-1182,3051120,-,8,P,SCO2794,,SC_RS16060
TSS-1183,3053115,+,5,S,SCO2797,,SC_RS16075
TSS-1184,3053185,+,6,P,SCO2797,,SC_RS16075
TSS-1185,3053914,-,47,A,SCO2797,,SC_RS16075
TSS-1186,3056370,+,6,A,SCO2799,,SC_RS16085
TSS-1187,3059927,-,3,P,SCO2801,,SC_RS16095
TSS-1188,3060046,+,12,P,SCO2802,,SC_RS16100
TSS-1189,3062463,+,4,I,SCO2805,,SC_RS16115
TSS-1190,3064595,+,21,P,SCO2807,,SC_RS16125
TSS-1191,3064630,+,12,S,SCO2807,,SC_RS16125
TSS-1192,3064712,+,2,S,SCO2807,,SC_RS16125
TSS-1193,3070611,-,2,P,SCO2811,,SC_RS16145
TSS-1194,3071936,+,27,P,SCO2813,,SC_RS16155
TSS-1195,3073640,+,4,P,SCO2815,,SC_RS16165
TSS-1196,3077412,-,83,P,SCO2817,,SC_RS16175
TSS-1197,3079206,-,16,P,SCOt20,Romero et al.,SC_RS16185
TSS-1198,3079976,-,11,P,SCO2819,,SC_RS16190
TSS-1199,3080360,-,11,P,SCO2820,Romero et al.,SC_RS16195
TSS-1200,3081234,-,32,I,SCO2821,,SC_RS16200
TSS-1201,3081602,+,13,A,SCO2821,,SC_RS16200
TSS-1202,3082238,+,8,N,,Romero et al.,
TSS-1203,3082275,+,7,N,,,
TSS-1204,3083914,+,43,P,SCO2824,,SC_RS16215
TSS-1205,3087628,+,3,P,SCO2828,,SC_RS16235
TSS-1206,3087640,-,38,P,SCO2827,,SC_RS16230
TSS-1207,3088506,+,8,P,SCO2829,,SC_RS16240
TSS-1208,3089124,+,5,P,SCO2830,,SC_RS16245
TSS-1209,3091792,+,34,P,SCOt21,Romero et al.,SC_RS16260
TSS-1210,3094995,+,62,S,SCOt22,Romero et al.,SC_RS16280
TSS-1211,3095131,+,186,P,SCOt22,Romero et al.,SC_RS16280
TSS-1212,3095311,+,17,S,SCO2836,Romero et al.,SC_RS16285
TSS-1213,3095396,+,53,P,SCO2836,,SC_RS16285
TSS-1214,3097424,+,10,P,SCO2837,,SC_RS16290
TSS-1215,3097544,+,9,S,SCO2837,,SC_RS16290
TSS-1216,3098852,-,8,A,SCO2837,,SC_RS16290
TSS-1217,3099817,+,3,A,SCO2838,,SC_RS16295
TSS-1218,3101285,+,26,P,SCO2840,,SC_RS16305
TSS-1219,3104407,-,24,P,SCO2843,,SC_RS16320
TSS-1220,3116931,-,388,P,SCO2860,Romero et al.,SC_RS16400
TSS-1221,3121982,+,133,P,SCO2865,,SC_RS16420
TSS-1222,3122068,+,94,S,SCO2865,,SC_RS16420
TSS-1223,3122862,+,14,P,SCO2866,,
TSS-1224,3123186,+,10,S,SCO2866,,
TSS-1225,3123432,-,16,A,SCO2866,Romero et al.,
TSS-1226,3123647,+,13,P,SCO2867,,SC_RS16435
TSS-1227,3124292,+,62,P,SCO2869,,SC_RS16445
TSS-1228,3125264,-,12,N,,,
TSS-1229,3125325,+,16,P,SCO2870,,SC_RS16450
TSS-1230,3130165,+,35,P,SCO2876,,SC_RS16480
TSS-1231,3130799,+,7,P,SCO2877,,SC_RS16485
TSS-1232,3131326,+,13,P,SCO2878,Romero et al.,SC_RS16490
TSS-1233,3134301,+,60,P,SCO2879,,SC_RS16495
TSS-1234,3136278,+,28,P,SCO2880,,SC_RS16500
TSS-1235,3141751,+,11,P,SCO2887,Romero et al.,SC_RS16535
TSS-1236,3142517,-,15,P,SCO2888,,SC_RS16540
TSS-1237,3144364,-,4,P,SCO2889,,SC_RS16545
TSS-1238,3145555,-,2,S,SCO2890,,
TSS-1239,3145616,+,4,S,SCO2892,Romero et al.,SC_RS16555
TSS-1240,3145677,+,157,P,SCO2892,Romero et al.,SC_RS16555
TSS-1241,3145711,-,50,P,SCO2890,,
TSS-1242,3147951,-,9,P,SCO2893,,SC_RS16560
TSS-1243,3147974,-,6,S,SCO2893,,SC_RS16560
TSS-1244,3150871,+,5,P,SCO2897,Romero et al.,SC_RS16580
